n,influence_per_coord,total_influence
3,0.49999999999999983,1.4999999999999996
5,0.375,1.875
7,0.3125000000000002,2.1875000000000018
9,0.27343750000000017,2.4609375000000013
11,0.24609374999999936,2.707031249999993
13,0.22558593749999933,2.932617187499991
17,0.19638061523437536,3.338470458984381
19,0.18547058105468822,3.5239410400390763
23,0.16818809509277255,3.8683261871337686
29,0.14944598078727547,4.333933442830989
35,0.13583375955931837,4.754181584576143
41,0.1253706876195769,5.140198192402653
51,0.11227517265921928,5.726033805620183
61,0.10257817300857165,6.257268553522871
73,0.09370567529691892,6.840514296675082
89,0.08481349515712552,7.548401068984171
107,0.07731484055872864,8.272687939783964
129,0.07038609217001227,9.079805889931583
157,0.06377959869768485,10.013396995536521
189,0.058114381535502184,10.983618110209912
227,0.053015813428261935,12.034589648215459
275,0.048158009367245395,13.243452575992483
333,0.04375664254898328,14.570961968811433
401,0.0398693019638,15.9875900874838
483,0.036323800859930554,17.54439581534646
585,0.03300256721850318,19.30650182282436
705,0.03006072897636337,21.192813928336175
851,0.027359166661641555,23.282650829056962
1027,0.024903509785885514,25.575904550104422
1241,0.022653831168960446,28.113404480679915
1497,0.02062536718112815,30.87617467014884
1807,0.01877245492532921,33.92182605006988
2181,0.01708685013203947,37.26642013797809
2633,0.015550912138299322,40.945551660142115
3179,0.014152362721889548,44.99036109288687
3837,0.012881678574404764,49.42700068999108
4633,0.011722826738320006,54.31185627863659
5593,0.010669327942832218,59.673551184260596
6751,0.009711181925228126,65.56018917721508
8149,0.008838961172276609,72.02869459288209
9837,0.00804488356870901,79.13751966539053
11875,0.0073220450290889146,86.94928472043085
14335,0.0066642117330244655,95.53147519290572
17303,0.006065765720364391,104.95594425946506
20889,0.005520601946335771,115.31985405700792
25215,0.005024754885943137,126.6991944490562
30439,0.0045732868041443945,139.20627703135122
36743,0.004162514027302011,152.9432529051578
44355,0.0037885342475231717,168.04043654889028
53543,0.0034481864332869994,184.6262461974858
64635,0.003138396890022512,202.85028298660507
78023,0.0028564730473171433,222.87059657082546
94187,0.002599834676949545,244.8706287178468
113697,0.0023662820734747076,269.0391729078538
137249,0.0021537052074769533,295.5938860210044
165681,0.0019602179565189255,324.7708712540121
200001,0.0017841218860982899,356.8261613415441
