family,n,delta,estimate,stderr
parity,45,0.002,0.04293333333333333,0.0011703479815368322
parity,45,0.005,0.10116666666666667,0.0017410246349875112
parity,45,0.01,0.18186666666666668,0.0022270768740932237
parity,45,0.02,0.2969333333333333,0.0026379972701431804
parity,45,0.05,0.44626666666666664,0.0028700811036997467
parity,45,0.1,0.4945333333333333,0.002886626913720665
parity,45,0.15,0.4952666666666667,0.0028866701024989343
parity,45,0.2,0.4972666666666667,0.002886756324152098
parity,45,0.3,0.5016,0.0028867846792223367
majority,45,0.002,0.005,0.00040723317803854903
majority,45,0.005,0.013033333333333333,0.0006548255327956692
majority,45,0.01,0.0235,0.0008746144855591777
majority,45,0.02,0.04546666666666667,0.0012027869801064582
majority,45,0.05,0.09073333333333333,0.0016583480301567651
majority,45,0.1,0.1355,0.0019760537677274283
majority,45,0.15,0.17223333333333332,0.0021800134914035504
majority,45,0.2,0.19466666666666665,0.0022860211536515473
majority,45,0.3,0.24943333333333334,0.002498149890808746
tribes,44,0.002,0.0029333333333333334,0.00031224063279793556
tribes,44,0.005,0.007266666666666667,0.0004903774971832743
tribes,44,0.01,0.014166666666666666,0.0006823107251623681
tribes,44,0.02,0.026433333333333333,0.0009262013832715613
tribes,44,0.05,0.067,0.0014435267434245776
tribes,44,0.1,0.12383333333333334,0.0019017733446333998
tribes,44,0.15,0.17876666666666666,0.0022121937781070587
tribes,44,0.2,0.22313333333333332,0.002403820759007975
tribes,44,0.3,0.29186666666666666,0.0026248009774439834
random_dnf,45,0.002,0.0021,0.00026430158628156273
random_dnf,45,0.005,0.0054666666666666665,0.0004257136539325217
random_dnf,45,0.01,0.011233333333333333,0.0006084821500006505
random_dnf,45,0.02,0.020633333333333333,0.0008207369147697324
random_dnf,45,0.05,0.05316666666666667,0.0012953976259207245
random_dnf,45,0.1,0.10216666666666667,0.0017486346732246971
random_dnf,45,0.15,0.14943333333333333,0.0020583751612256907
random_dnf,45,0.2,0.18316666666666667,0.00223324596552814
random_dnf,45,0.3,0.2559,0.0025194016312382558
