family,n,delta,estimate,stderr
majority,11,0.2,0.1815,0.0022253292047849883
tribes,12,0.2,0.1716,0.0021768339287901095
parity,11,0.2,0.45886666666666664,0.0028770142283262978
majority,51,0.2,0.2005,0.0023116018508321364
tribes,48,0.2,0.1036,0.0017594519570137842
parity,51,0.2,0.5032,0.002886740337415055
majority,201,0.2,0.20396666666666666,0.0023264398973406523
tribes,200,0.2,0.09986666666666667,0.001731052782743228
parity,201,0.2,0.49833333333333335,0.0028867834218540825
majority,801,0.2,0.2044,0.00232827590624977
tribes,800,0.2,0.0903,0.001654777409888072
parity,801,0.2,0.5024666666666666,0.002886764330317795
majority,3201,0.2,0.2029,0.0023219028204808497
tribes,3204,0.2,0.08403333333333333,0.001601814575537762
parity,3201,0.2,0.4965333333333333,0.002886730073010734
majority,12801,0.2,0.20326666666666668,0.00232346528113937
tribes,12796,0.2,0.0796,0.0015627569890997875
parity,12801,0.2,0.4987666666666667,0.0028867906773745815
