p,d,alpha,n,trials,recovery_prob,mean_shd,mean_precision,mean_recall
14,1,0.0005494505494505495,28,20,0.1,2.05,1.0,0.6298809523809523
14,1,0.0005494505494505495,45,20,0.5,0.7,1.0,0.8414285714285714
14,1,0.0005494505494505495,73,20,0.6,0.4,1.0,0.9305952380952383
14,1,0.0005494505494505495,118,20,0.85,0.15,1.0,0.975
14,1,0.0005494505494505495,191,20,0.95,0.05,0.99,1.0
14,1,0.0005494505494505495,308,20,1.0,0.0,1.0,1.0
14,2,0.0005494505494505495,35,20,0.0,6.75,1.0,0.4066896991896992
14,2,0.0005494505494505495,72,20,0.0,3.35,1.0,0.696354895104895
14,2,0.0005494505494505495,147,20,0.35,0.8,1.0,0.9212247474747475
14,2,0.0005494505494505495,301,20,0.75,0.3,1.0,0.9751221001221001
14,2,0.0005494505494505495,617,20,0.9,0.1,1.0,0.9922619047619048
14,2,0.0005494505494505495,1264,20,1.0,0.0,1.0,1.0
14,3,0.0005494505494505495,85,20,0.0,7.9,0.9894444444444446,0.5485354317165463
14,3,0.0005494505494505495,174,20,0.0,4.2,0.9894574175824176,0.7645869883040937
14,3,0.0005494505494505495,357,20,0.1,1.75,1.0,0.8941687859354268
14,3,0.0005494505494505495,731,20,0.55,0.9,0.996875,0.9459219824293352
14,3,0.0005494505494505495,1496,20,0.9,0.15,1.0,0.9913194444444444
14,3,0.0005494505494505495,3063,20,1.0,0.0,1.0,1.0
