p,d,alpha,n,trials,recovery_prob,mean_shd,mean_precision,mean_recall
10,2,0.0011111111111111111,35,20,0.05,4.25,0.9833333333333332,0.4546626984126984
10,2,0.0011111111111111111,72,20,0.1,1.85,1.0,0.7494642857142857
10,2,0.0011111111111111111,148,20,0.45,0.75,1.0,0.9017658730158729
10,2,0.0011111111111111111,303,20,0.65,0.35,1.0,0.9525396825396826
10,2,0.0011111111111111111,621,20,0.95,0.05,1.0,0.9928571428571429
10,2,0.0011111111111111111,1272,20,1.0,0.0,1.0,1.0
20,2,0.0002631578947368421,53,20,0.0,7.95,1.0,0.5278357044572215
20,2,0.0002631578947368421,109,20,0.0,3.95,1.0,0.7597228530413513
20,2,0.0002631578947368421,224,20,0.3,1.05,1.0,0.9371125730994153
20,2,0.0002631578947368421,458,20,0.7,0.45,1.0,0.9738439849624061
20,2,0.0002631578947368421,938,20,0.85,0.15,1.0,0.9905257936507936
20,2,0.0002631578947368421,1920,20,0.95,0.05,1.0,0.9966666666666667
35,2,8.403361344537815e-05,102,20,0.0,8.3,0.9953260869565217,0.7303028124597783
35,2,8.403361344537815e-05,209,20,0.15,2.5,0.9958260869565217,0.9207138518729339
35,2,8.403361344537815e-05,428,20,0.45,0.9,1.0,0.9704829383467415
35,2,8.403361344537815e-05,877,20,0.8,0.25,1.0,0.9924523024018992
35,2,8.403361344537815e-05,1796,20,1.0,0.0,1.0,1.0
35,2,8.403361344537815e-05,3678,20,1.0,0.0,1.0,1.0
55,2,3.3670033670033675e-05,110,20,0.0,15.2,0.9971825396825397,0.7069405016760336
55,2,3.3670033670033675e-05,207,20,0.0,4.85,0.998780487804878,0.904002356257576
55,2,3.3670033670033675e-05,389,20,0.1,2.35,0.9989583333333334,0.9546198171246651
55,2,3.3670033670033675e-05,731,20,0.7,0.45,0.999074074074074,0.9924067610213955
55,2,3.3670033670033675e-05,1375,20,0.85,0.25,1.0,0.9951780002781254
55,2,3.3670033670033675e-05,2586,20,1.0,0.0,1.0,1.0
80,2,1.5822784810126583e-05,220,20,0.0,7.85,0.9982424242424243,0.8932911974800302
80,2,1.5822784810126583e-05,452,20,0.0,2.35,1.0,0.9679926785654223
80,2,1.5822784810126583e-05,925,20,0.5,0.75,1.0,0.9902405271182892
80,2,1.5822784810126583e-05,1893,20,0.85,0.15,1.0,0.9979035947712418
80,2,1.5822784810126583e-05,3877,20,1.0,0.0,1.0,1.0
80,2,1.5822784810126583e-05,7938,20,1.0,0.0,1.0,1.0
