family,requested_n,n,trial,max_load_gap,spectral_gap
complete,128,128,0,2,1.007874015748031
complete,128,128,1,2,1.007874015748031
complete,128,128,2,2,1.007874015748031
complete,128,128,3,1,1.007874015748031
complete,128,128,4,2,1.007874015748031
complete,128,128,5,1,1.007874015748031
complete,128,128,6,2,1.007874015748031
complete,128,128,7,1,1.007874015748031
complete,128,128,8,2,1.007874015748031
complete,128,128,9,2,1.007874015748031
complete,128,128,10,2,1.007874015748031
complete,128,128,11,2,1.007874015748031
complete,128,128,12,1,1.007874015748031
complete,128,128,13,1,1.007874015748031
complete,128,128,14,1,1.007874015748031
complete,128,128,15,2,1.007874015748031
complete,128,128,16,1,1.007874015748031
complete,128,128,17,1,1.007874015748031
complete,128,128,18,1,1.007874015748031
complete,128,128,19,2,1.007874015748031
complete,128,128,20,2,1.007874015748031
complete,128,128,21,1,1.007874015748031
complete,128,128,22,1,1.007874015748031
complete,128,128,23,2,1.007874015748031
complete,128,128,24,1,1.007874015748031
complete,128,128,25,2,1.007874015748031
complete,128,128,26,1,1.007874015748031
complete,128,128,27,2,1.007874015748031
complete,128,128,28,2,1.007874015748031
complete,128,128,29,1,1.007874015748031
complete,256,256,0,2,1.003921568627451
complete,256,256,1,2,1.003921568627451
complete,256,256,2,2,1.003921568627451
complete,256,256,3,2,1.003921568627451
complete,256,256,4,1,1.003921568627451
complete,256,256,5,2,1.003921568627451
complete,256,256,6,1,1.003921568627451
complete,256,256,7,2,1.003921568627451
complete,256,256,8,2,1.003921568627451
complete,256,256,9,2,1.003921568627451
complete,256,256,10,2,1.003921568627451
complete,256,256,11,2,1.003921568627451
complete,256,256,12,2,1.003921568627451
complete,256,256,13,1,1.003921568627451
complete,256,256,14,2,1.003921568627451
complete,256,256,15,2,1.003921568627451
complete,256,256,16,2,1.003921568627451
complete,256,256,17,2,1.003921568627451
complete,256,256,18,2,1.003921568627451
complete,256,256,19,2,1.003921568627451
complete,256,256,20,2,1.003921568627451
complete,256,256,21,2,1.003921568627451
complete,256,256,22,2,1.003921568627451
complete,256,256,23,2,1.003921568627451
complete,256,256,24,2,1.003921568627451
complete,256,256,25,2,1.003921568627451
complete,256,256,26,2,1.003921568627451
complete,256,256,27,2,1.003921568627451
complete,256,256,28,2,1.003921568627451
complete,256,256,29,2,1.003921568627451
complete,512,512,0,2,1.0019569471624266
complete,512,512,1,2,1.0019569471624266
complete,512,512,2,2,1.0019569471624266
complete,512,512,3,2,1.0019569471624266
complete,512,512,4,2,1.0019569471624266
complete,512,512,5,2,1.0019569471624266
complete,512,512,6,2,1.0019569471624266
complete,512,512,7,2,1.0019569471624266
complete,512,512,8,2,1.0019569471624266
complete,512,512,9,2,1.0019569471624266
complete,512,512,10,2,1.0019569471624266
complete,512,512,11,2,1.0019569471624266
complete,512,512,12,2,1.0019569471624266
complete,512,512,13,2,1.0019569471624266
complete,512,512,14,2,1.0019569471624266
complete,512,512,15,2,1.0019569471624266
complete,512,512,16,2,1.0019569471624266
complete,512,512,17,2,1.0019569471624266
complete,512,512,18,1,1.0019569471624266
complete,512,512,19,2,1.0019569471624266
complete,512,512,20,2,1.0019569471624266
complete,512,512,21,2,1.0019569471624266
complete,512,512,22,2,1.0019569471624266
complete,512,512,23,2,1.0019569471624266
complete,512,512,24,2,1.0019569471624266
complete,512,512,25,2,1.0019569471624266
complete,512,512,26,2,1.0019569471624266
complete,512,512,27,2,1.0019569471624266
complete,512,512,28,2,1.0019569471624266
complete,512,512,29,2,1.0019569471624266
complete,1024,1024,0,2,1.0009775171065491
complete,1024,1024,1,2,1.0009775171065491
complete,1024,1024,2,2,1.0009775171065491
complete,1024,1024,3,2,1.0009775171065491
complete,1024,1024,4,2,1.0009775171065491
complete,1024,1024,5,2,1.0009775171065491
complete,1024,1024,6,2,1.0009775171065491
complete,1024,1024,7,2,1.0009775171065491
complete,1024,1024,8,2,1.0009775171065491
complete,1024,1024,9,2,1.0009775171065491
complete,1024,1024,10,2,1.0009775171065491
complete,1024,1024,11,2,1.0009775171065491
complete,1024,1024,12,2,1.0009775171065491
complete,1024,1024,13,2,1.0009775171065491
complete,1024,1024,14,2,1.0009775171065491
complete,1024,1024,15,2,1.0009775171065491
complete,1024,1024,16,2,1.0009775171065491
complete,1024,1024,17,2,1.0009775171065491
complete,1024,1024,18,2,1.0009775171065491
complete,1024,1024,19,2,1.0009775171065491
complete,1024,1024,20,2,1.0009775171065491
complete,1024,1024,21,2,1.0009775171065491
complete,1024,1024,22,2,1.0009775171065491
complete,1024,1024,23,2,1.0009775171065491
complete,1024,1024,24,2,1.0009775171065491
complete,1024,1024,25,2,1.0009775171065491
complete,1024,1024,26,2,1.0009775171065491
complete,1024,1024,27,2,1.0009775171065491
complete,1024,1024,28,2,1.0009775171065491
complete,1024,1024,29,2,1.0009775171065491
complete,2048,2048,0,2,1.0004885197850513
complete,2048,2048,1,2,1.0004885197850513
complete,2048,2048,2,2,1.0004885197850513
complete,2048,2048,3,2,1.0004885197850513
complete,2048,2048,4,2,1.0004885197850513
complete,2048,2048,5,2,1.0004885197850513
complete,2048,2048,6,2,1.0004885197850513
complete,2048,2048,7,2,1.0004885197850513
complete,2048,2048,8,2,1.0004885197850513
complete,2048,2048,9,2,1.0004885197850513
complete,2048,2048,10,2,1.0004885197850513
complete,2048,2048,11,2,1.0004885197850513
complete,2048,2048,12,2,1.0004885197850513
complete,2048,2048,13,2,1.0004885197850513
complete,2048,2048,14,2,1.0004885197850513
complete,2048,2048,15,2,1.0004885197850513
complete,2048,2048,16,2,1.0004885197850513
complete,2048,2048,17,2,1.0004885197850513
complete,2048,2048,18,2,1.0004885197850513
complete,2048,2048,19,2,1.0004885197850513
complete,2048,2048,20,2,1.0004885197850513
complete,2048,2048,21,2,1.0004885197850513
complete,2048,2048,22,2,1.0004885197850513
complete,2048,2048,23,2,1.0004885197850513
complete,2048,2048,24,2,1.0004885197850513
complete,2048,2048,25,2,1.0004885197850513
complete,2048,2048,26,2,1.0004885197850513
complete,2048,2048,27,2,1.0004885197850513
complete,2048,2048,28,2,1.0004885197850513
complete,2048,2048,29,2,1.0004885197850513
regular3,128,128,0,2,0.07256454472750469
regular3,128,128,1,2,0.07256454472750469
regular3,128,128,2,2,0.07256454472750469
regular3,128,128,3,1,0.07256454472750469
regular3,128,128,4,2,0.07256454472750469
regular3,128,128,5,2,0.07256454472750469
regular3,128,128,6,2,0.07256454472750469
regular3,128,128,7,1,0.07256454472750469
regular3,128,128,8,2,0.07256454472750469
regular3,128,128,9,2,0.07256454472750469
regular3,128,128,10,2,0.07256454472750469
regular3,128,128,11,2,0.07256454472750469
regular3,128,128,12,2,0.07256454472750469
regular3,128,128,13,2,0.07256454472750469
regular3,128,128,14,2,0.07256454472750469
regular3,128,128,15,2,0.07256454472750469
regular3,128,128,16,2,0.07256454472750469
regular3,128,128,17,2,0.07256454472750469
regular3,128,128,18,3,0.07256454472750469
regular3,128,128,19,2,0.07256454472750469
regular3,128,128,20,2,0.07256454472750469
regular3,128,128,21,2,0.07256454472750469
regular3,128,128,22,1,0.07256454472750469
regular3,128,128,23,2,0.07256454472750469
regular3,128,128,24,2,0.07256454472750469
regular3,128,128,25,2,0.07256454472750469
regular3,128,128,26,2,0.07256454472750469
regular3,128,128,27,2,0.07256454472750469
regular3,128,128,28,1,0.07256454472750469
regular3,128,128,29,2,0.07256454472750469
regular3,256,256,0,2,0.0644690979529635
regular3,256,256,1,2,0.0644690979529635
regular3,256,256,2,2,0.0644690979529635
regular3,256,256,3,2,0.0644690979529635
regular3,256,256,4,2,0.0644690979529635
regular3,256,256,5,2,0.0644690979529635
regular3,256,256,6,2,0.0644690979529635
regular3,256,256,7,2,0.0644690979529635
regular3,256,256,8,2,0.0644690979529635
regular3,256,256,9,2,0.0644690979529635
regular3,256,256,10,2,0.0644690979529635
regular3,256,256,11,2,0.0644690979529635
regular3,256,256,12,2,0.0644690979529635
regular3,256,256,13,3,0.0644690979529635
regular3,256,256,14,2,0.0644690979529635
regular3,256,256,15,2,0.0644690979529635
regular3,256,256,16,2,0.0644690979529635
regular3,256,256,17,2,0.0644690979529635
regular3,256,256,18,2,0.0644690979529635
regular3,256,256,19,3,0.0644690979529635
regular3,256,256,20,2,0.0644690979529635
regular3,256,256,21,2,0.0644690979529635
regular3,256,256,22,2,0.0644690979529635
regular3,256,256,23,2,0.0644690979529635
regular3,256,256,24,2,0.0644690979529635
regular3,256,256,25,2,0.0644690979529635
regular3,256,256,26,2,0.0644690979529635
regular3,256,256,27,2,0.0644690979529635
regular3,256,256,28,2,0.0644690979529635
regular3,256,256,29,2,0.0644690979529635
regular3,512,512,0,2,0.06053618704826062
regular3,512,512,1,2,0.06053618704826062
regular3,512,512,2,2,0.06053618704826062
regular3,512,512,3,2,0.06053618704826062
regular3,512,512,4,2,0.06053618704826062
regular3,512,512,5,2,0.06053618704826062
regular3,512,512,6,2,0.06053618704826062
regular3,512,512,7,2,0.06053618704826062
regular3,512,512,8,2,0.06053618704826062
regular3,512,512,9,2,0.06053618704826062
regular3,512,512,10,2,0.06053618704826062
regular3,512,512,11,2,0.06053618704826062
regular3,512,512,12,2,0.06053618704826062
regular3,512,512,13,2,0.06053618704826062
regular3,512,512,14,3,0.06053618704826062
regular3,512,512,15,2,0.06053618704826062
regular3,512,512,16,2,0.06053618704826062
regular3,512,512,17,2,0.06053618704826062
regular3,512,512,18,3,0.06053618704826062
regular3,512,512,19,3,0.06053618704826062
regular3,512,512,20,2,0.06053618704826062
regular3,512,512,21,3,0.06053618704826062
