n,rho,alpha_c
100,0.0,0.15395188679245286
100,0.1,0.09497005649717515
100,0.2,0.061299575671852895
100,0.3,0.049594202898550724
100,0.4,0.03956937799043061
100,0.5,0.035013333333333334
200,0.0,0.14406177606177614
200,0.1,0.054870904645476774
200,0.2,0.03355973813420622
200,0.3,0.025252384062704122
200,0.4,0.020598892500300958
200,0.5,0.01690411424685481
400,0.0,0.13334541336353342
400,0.1,0.032685208148804254
400,0.2,0.017776170436612313
400,0.3,0.013208797541298502
400,0.4,0.010478216846368564
400,0.5,0.00856837606837607
