n,rho,alpha,p,n_trials,n_samples,mean_overlap,sem_overlap,ci_lo,ci_hi,mean_sweeps_used
100,0.0,0.01,2,20,40,1.0,0.0,1.0,1.0,2.0
100,0.0,0.02,2,20,40,1.0,0.0,1.0,1.0,2.0
100,0.0,0.03,3,20,60,1.0,0.0,1.0,1.0,2.0
100,0.0,0.04,4,20,80,1.0,0.0,1.0,1.0,2.0
100,0.0,0.048,5,20,100,1.0,0.0,1.0,1.0,2.0
100,0.0,0.05,5,20,100,1.0,0.0,1.0,1.0,2.0
100,0.0,0.06,6,20,100,1.0,0.0,1.0,1.0,2.0
100,0.0,0.0657,7,20,100,1.0,0.0,1.0,1.0,2.0
100,0.0,0.068,7,20,100,1.0,0.0,1.0,1.0,2.05
100,0.0,0.07,7,20,100,1.0,0.0,1.0,1.0,2.0
100,0.0,0.08,8,20,100,0.9987999999999999,0.0007423685817106702,0.9972,1.0,2.2
100,0.0,0.088,9,20,100,0.9998,0.00020000000000000017,0.9994,1.0,2.1
100,0.0,0.09,9,20,100,0.9998,0.00020000000000000017,0.9994,1.0,2.0
100,0.0,0.1,10,20,100,0.9942,0.003806374239152642,0.9858,0.9998,2.7
100,0.0,0.108,11,20,100,0.9932,0.0029435085228757918,0.9868000000000001,0.9982000000000001,2.85
100,0.0,0.11,11,20,100,0.9792000000000001,0.008866780587101386,0.9604,0.9938000000000001,2.7
100,0.0,0.1114,11,20,100,0.9954000000000001,0.001945832116669531,0.9912000000000001,0.9986,2.25
100,0.0,0.12,12,20,100,0.991,0.0043889208539943225,0.9812000000000001,0.9978,2.7
100,0.0,0.128,13,20,100,0.9782,0.005021931698041898,0.9678000000000001,0.9875999999999999,3.4
100,0.0,0.13,13,20,100,0.981,0.007154146922017901,0.9649949999999998,0.9935999999999998,3.15
100,0.0,0.14,14,20,100,0.9602,0.009536723279465064,0.9401949999999999,0.977,3.65
100,0.0,0.148,15,20,100,0.9462,0.01261294829318128,0.9212,0.9683999999999999,4.75
100,0.0,0.15,15,20,100,0.9618000000000001,0.009158955434243833,0.9429949999999999,0.9773999999999999,3.75
100,0.0,0.1571,16,20,100,0.9406,0.0127555256396369,0.9131949999999999,0.9638000000000001,4.55
100,0.0,0.16,16,20,100,0.9181999999999999,0.016280607538362375,0.8846,0.9488049999999999,6.35
100,0.0,0.168,17,20,100,0.9224000000000001,0.014028196713416268,0.8928000000000001,0.9475999999999999,5.9
100,0.0,0.17,17,20,100,0.912,0.01684150716641369,0.875595,0.9434,6.85
100,0.0,0.18,18,20,100,0.8523999999999999,0.02010433392142705,0.8121900000000001,0.8917999999999998,7.55
100,0.0,0.188,19,20,100,0.8436,0.022144393001709065,0.7975850000000001,0.886005,7.15
100,0.0,0.19,19,20,100,0.8780000000000001,0.0193207900794178,0.8403949999999999,0.9136050000000001,6.9
100,0.0,0.2,20,20,100,0.8373999999999999,0.02204614994217193,0.7955949999999998,0.8782,6.8
100,0.0,0.2029,20,20,100,0.8628,0.01919810596718522,0.8243949999999998,0.8988,6.6
100,0.0,0.208,21,20,100,0.8046000000000001,0.022139785477960278,0.76118,0.8472,7.1
100,0.0,0.21,21,20,100,0.7892,0.022873247573212126,0.7445949999999999,0.8332049999999999,7.3
100,0.0,0.22,22,20,100,0.7652,0.024083390479118526,0.7185949999999999,0.8104049999999999,7.65
100,0.0,0.228,23,20,100,0.7190000000000001,0.02459428364231794,0.6705949999999998,0.7688100000000001,9.1
100,0.0,0.23,23,20,100,0.6934,0.024837337484789578,0.641795,0.739605,8.6
100,0.0,0.24,24,20,100,0.6842,0.02541024210904737,0.632395,0.7330049999999999,8.5
100,0.0,0.2486,25,20,100,0.6378,0.024929630254908807,0.5886,0.6880049999999998,8.95
100,0.0,0.25,25,20,100,0.6314,0.027140122745232066,0.583195,0.6816,9.1
100,0.0,0.2943,29,20,100,0.5826,0.02304962586519036,0.53918,0.6259999999999999,10.0
100,0.0,0.34,34,20,100,0.4794,0.022069596070319702,0.436595,0.5214,10.65
100,0.1,0.01,2,20,40,1.0,0.0,1.0,1.0,2.0
100,0.1,0.02,2,20,40,1.0,0.0,1.0,1.0,2.0
100,0.1,0.03,3,20,60,1.0,0.0,1.0,1.0,2.0
100,0.1,0.0342,3,20,60,1.0,0.0,1.0,1.0,2.0
100,0.1,0.04,4,20,80,1.0,0.0,1.0,1.0,2.0
100,0.1,0.05,5,20,100,1.0,0.0,1.0,1.0,2.0
100,0.1,0.0542,5,20,100,1.0,0.0,1.0,1.0,2.0
100,0.1,0.06,6,20,100,0.9994,0.0004454030067072277,0.9984000000000001,1.0,2.1
100,0.1,0.0657,7,20,100,0.9994,0.0004454030067072276,0.9984000000000001,1.0,2.05
100,0.1,0.07,7,20,100,0.9811999999999999,0.00898852242326487,0.9615949999999998,0.996,2.75
100,0.1,0.0742,7,20,100,0.9902000000000001,0.005033182819342974,0.9790000000000001,0.9986,2.6
100,0.1,0.08,8,20,100,0.9852000000000001,0.0067487073210393805,0.9698000000000002,0.9962000000000001,2.9
100,0.1,0.09,9,20,100,0.9884000000000001,0.0070620911430773325,0.9721949999999999,0.9987999999999999,2.65
