alpha,p_sat_component,predicted_p_sat_whole,observed_p_sat_mu0,abs_error
2.5,1.0,1.0,1.0,0.0
2.7,1.0,1.0,1.0,0.0
2.9,1.0,1.0,1.0,0.0
3.1,1.0,1.0,1.0,0.0
3.3,0.99,0.96059601,1.0,0.039403990000000055
3.5,0.9833333333333333,0.9349815586419751,0.88,0.05498155864197507
3.7,0.95,0.8145062499999999,0.76,0.05450624999999987
3.9000000000000004,0.8933333333333333,0.6368749353086419,0.44,0.19687493530864192
4.1,0.75,0.31640625,0.24,0.07640625000000001
4.3,0.6633333333333333,0.19360977790123457,0.12,0.07360977790123457
4.5,0.5566666666666666,0.09602423716049381,0.16,0.06397576283950619
4.7,0.4533333333333333,0.04223481679012345,0.04,0.0022348167901234464
4.9,0.3333333333333333,0.012345679012345677,0.0,0.012345679012345677
5.1,0.24,0.0033177599999999995,0.0,0.0033177599999999995
5.300000000000001,0.17666666666666667,0.0009741334567901235,0.0,0.0009741334567901235
5.5,0.08,4.096e-05,0.0,4.096e-05
5.7,0.09333333333333334,7.588345679012347e-05,0.0,7.588345679012347e-05
5.9,0.06666666666666667,1.9753086419753087e-05,0.0,1.9753086419753087e-05
6.1,0.02,1.6e-07,0.0,1.6e-07
6.300000000000001,0.03,8.099999999999999e-07,0.0,8.099999999999999e-07
6.5,0.02,1.6e-07,0.0,1.6e-07
