n_vars,n_communities,alpha,mu,trial,n_clauses,satisfiable,hit_cap,decisions,backtracks,modularity_q,runtime_sec
80,4,2.5,1.0,0,200,1,0,30,12,-0.01668333333333335,0.009793281555175781
80,4,2.5,1.0,1,200,1,0,26,2,0.0019166666666666568,0.006562709808349609
80,4,2.5,1.0,2,200,1,0,25,0,-0.03237222222222224,0.006554126739501953
80,4,2.5,1.0,3,200,1,0,25,0,-0.005861111111111129,0.006551504135131836
80,4,2.5,1.0,4,200,1,0,18,0,-0.01836111111111112,0.004664897918701172
80,4,2.5,1.0,5,200,1,0,25,0,-0.03420555555555556,0.006304025650024414
80,4,2.5,1.0,6,200,1,0,25,1,-0.011900000000000008,0.006403446197509766
80,4,2.5,1.0,7,200,1,0,22,1,0.002449999999999987,0.005865573883056641
80,4,2.5,1.0,8,200,1,0,22,1,0.01038333333333332,0.006413698196411133
80,4,2.5,1.0,9,200,1,0,28,1,-0.01721666666666668,0.006763458251953125
80,4,2.5,1.0,10,200,1,0,30,1,0.019616666666666657,0.0075681209564208984
80,4,2.5,1.0,11,200,1,0,23,0,0.006166666666666647,0.00578618049621582
80,4,2.5,1.0,12,200,1,0,30,1,-0.015566666666666687,0.0071125030517578125
80,4,2.5,1.0,13,200,1,0,25,0,-0.014705555555555569,0.0060918331146240234
80,4,2.5,1.0,14,200,1,0,21,0,-0.010705555555555558,0.005623340606689453
80,4,2.5,1.0,15,200,1,0,26,0,-0.01755555555555558,0.006241798400878906
80,4,2.5,1.0,16,200,1,0,20,0,-0.0305388888888889,0.005452632904052734
80,4,2.5,1.0,17,200,1,0,29,0,0.01953888888888887,0.006886959075927734
80,4,2.5,1.0,18,200,1,0,25,0,-0.026177777777777807,0.006501197814941406
80,4,2.5,1.0,19,200,1,0,23,0,-0.01461666666666668,0.00578618049621582
80,4,2.5,1.0,20,200,1,0,17,0,-0.031650000000000005,0.004975795745849609
80,4,2.5,1.0,21,200,1,0,19,0,0.0021499999999999853,0.00502777099609375
80,4,2.5,1.0,22,200,1,0,27,2,-0.011672222222222244,0.008165836334228516
80,4,2.5,1.0,23,200,1,0,32,1,0.013294444444444428,0.008388280868530273
80,4,2.5,1.0,24,200,1,0,18,1,-0.014205555555555568,0.005408048629760742
80,4,2.7,1.0,0,216,1,0,20,0,-0.01585600518213689,0.0066106319427490234
80,4,2.7,1.0,1,216,1,0,19,0,-0.0008335238530711928,0.00554656982421875
80,4,2.7,1.0,2,216,1,0,15,0,-0.01331732967535438,0.004706621170043945
80,4,2.7,1.0,3,216,1,0,12,0,0.004567710714830038,0.0043544769287109375
