family,seed,n,m,eps,kappa_theory,rate_empirical,r_squared,n_iter,converged,tightness,bound_violated
random_points,511000,30,30,0.08,0.9999963096401744,0.6413202569987384,0.9999999910310968,45,True,8.307401924690748e-06,False
random_points,511000,30,30,0.05656854249492379,0.9999999883239858,0.740356953147286,0.999999921116747,66,True,3.883941161926418e-08,False
random_points,511000,30,30,0.04000000000000001,0.9999999999965952,0.8174956257601411,0.9999997806083758,98,True,1.6896613493561343e-11,False
random_points,511000,30,30,0.028284271247461905,1.0,0.8731687320250688,0.9999997591202833,144,True,,False
random_points,511000,30,30,0.02,1.0,0.9122002965207161,0.9999999397443178,212,True,,False
random_points,511001,30,30,0.08,0.9999999493381393,0.6675141033398624,0.9999988340179171,48,True,1.2534022447070193e-07,False
random_points,511001,30,30,0.05656854249492379,0.9999999999728681,0.7495310592155562,0.9999999996966557,68,True,9.410733405914448e-11,False
random_points,511001,30,30,0.04000000000000001,0.9999999999999993,0.8134171143853052,0.9999999042347915,95,True,3.225653955071465e-15,False
random_points,511001,30,30,0.028284271247461905,1.0,0.8613879526539925,0.9999999609338435,132,True,,False
random_points,511001,30,30,0.02,1.0,0.9125483385427949,0.9999309654235924,198,True,,False
random_points,511002,30,30,0.08,0.9999985802515426,0.7051344250604861,0.9999997232117707,50,True,4.063778761707729e-06,False
random_points,511002,30,30,0.05656854249492379,0.9999999969758935,0.7751848940860675,0.9999980376583942,66,True,1.187536825554391e-08,False
random_points,511002,30,30,0.04000000000000001,0.999999999999496,0.8282357006807276,0.9999788511382777,87,True,2.674561886013384e-12,False
random_points,511002,30,30,0.028284271247461905,1.0,0.8752330339321447,0.9999999231647848,134,True,,False
random_points,511002,30,30,0.02,1.0,0.913232771625103,0.9999999974069397,201,True,,False
iid_random,547000,30,30,0.08,0.9999702076933985,0.5658342955349558,0.9994091782468729,28,True,5.2318097682041434e-05,False
iid_random,547000,30,30,0.05656854249492379,0.999999776105016,0.7355496971553286,0.9999999817684601,54,True,7.28973987731257e-07,False
iid_random,547000,30,30,0.04000000000000001,0.999999999778098,0.8485110980731907,0.99999999835219,101,True,1.3508199650577472e-09,False
iid_random,547000,30,30,0.028284271247461905,0.9999999999999876,0.9402666713105211,0.9999999913034814,263,True,2.0188576652285386e-13,False
iid_random,547000,30,30,0.02,1.0,0.987849415003251,0.999999999999021,1178,True,,False
iid_random,547001,30,30,0.08,0.9999795577144734,0.5001489258394083,0.9999999996670855,26,True,2.9504962063568893e-05,False
iid_random,547001,30,30,0.05656854249492379,0.9999998685647112,0.6278012242379332,0.9999999980240947,39,True,2.8233373101906337e-07,False
iid_random,547001,30,30,0.04000000000000001,0.999999999895526,0.7334379821081808,0.9999999997065064,59,True,3.3699955364185547e-10,False
iid_random,547001,30,30,0.028284271247461905,0.9999999999999958,0.8210585386060633,0.9999999999985649,93,True,2.1397995876610924e-14,False
iid_random,547001,30,30,0.02,1.0,0.8921477870432624,0.9999999976179784,159,True,,False
iid_random,547002,30,30,0.08,0.9999816887110403,0.4981642171912372,0.9999999886800053,27,True,2.6278396150395194e-05,False
iid_random,547002,30,30,0.05656854249492379,0.9999998875143745,0.6326992872468642,0.9999999251200825,40,True,2.457305675324078e-07,False
iid_random,547002,30,30,0.04000000000000001,0.9999999999161726,0.7474563372324144,0.9999999169739894,62,True,2.879880650356966e-10,False
iid_random,547002,30,30,0.028284271247461905,0.9999999999999969,0.8351790317858767,0.9999998555572867,101,True,1.7259668161853536e-14,False
iid_random,547002,30,30,0.02,1.0,0.9141727537626614,0.9999998772252768,197,True,,False
