family,seed,n,m,eps,kappa_theory,rate_empirical,r_squared,n_iter,converged,tightness,bound_violated
random_points,11000,30,30,2.5,0.05905146357749766,nan,nan,5,True,,False
random_points,11000,30,30,1.8657547387437996,0.1027515762484736,nan,nan,5,True,,False
random_points,11000,30,30,1.3924162980579777,0.1746830983036887,nan,nan,6,True,,False
random_points,11000,30,30,1.0391629225623082,0.28578700842016264,nan,nan,6,True,,False
random_points,11000,30,30,0.7755292588389932,0.44045636136053085,nan,nan,7,True,,False
random_points,11000,30,30,0.5787789558853272,0.6238856471720463,0.07265174698279225,0.9999566205973193,9,True,0.17992913004412547,False
random_points,11000,30,30,0.4319438318512952,0.7969515419828759,0.12181652059390899,0.9999449323719957,11,True,0.10780788816347095,False
random_points,11000,30,30,0.32236050045908365,0.9180846586979383,0.19281427562245929,0.9999436987362686,13,True,0.05192237270196171,False
random_points,11000,30,30,0.24057825252614323,0.9771489311903656,0.2887951923724755,0.999978039102585,17,True,0.01861151612237624,False
random_points,11000,30,30,0.17954400587574165,0.995998668055874,0.3976144402468304,0.9999911787868127,23,True,0.004347260436752699,False
random_points,11000,30,30,0.13399403191028383,0.9996167205526754,0.5057583167173816,0.9999969943662312,31,True,0.0005623514233987897,False
random_points,11000,30,30,0.1,0.9999834971786311,0.6065683804442563,0.9999984249323252,41,True,3.301002080682088e-05,False
random_points,11001,30,30,2.5,0.08391896492115272,nan,nan,5,True,,False
random_points,11001,30,30,1.8657547387437996,0.14410389971830245,nan,nan,5,True,,False
random_points,11001,30,30,1.3924162980579777,0.23964235415348076,nan,nan,6,True,,False
random_points,11001,30,30,1.0391629225623082,0.3786393518290775,nan,nan,7,True,,False
random_points,11001,30,30,0.7755292588389932,0.5548509399893231,0.05568675705775421,0.9999976657431704,8,True,0.2039657699665147,False
random_points,11001,30,30,0.5787789558853272,0.7372719654089038,0.09343559226111003,0.9999999971536166,10,True,0.1285807350891447,False
random_points,11001,30,30,0.4319438318512952,0.8809497730697136,0.14999419250645682,0.9999999995187431,12,True,0.06681289540608205,False
random_points,11001,30,30,0.32236050045908365,0.9615675892642713,0.22810498619611114,0.9999999999508794,15,True,0.02651675604578448,False
random_points,11001,30,30,0.24057825252614323,0.9918997641316358,0.3255938669152886,0.9999999999965974,20,True,0.007248185138154629,False
random_points,11001,30,30,0.17954400587574165,0.9990114547346084,0.43491510453088544,0.999999999997991,26,True,0.001187880059408569,False
random_points,11001,30,30,0.13399403191028383,0.9999412395321701,0.5452929795439824,0.9999999999939446,36,True,9.689823309501759e-05,False
random_points,11001,30,30,0.1,0.9999986628532456,0.6464147228691521,0.9999999999957357,50,True,3.0646453305646544e-06,False
random_points,11002,30,30,2.5,0.06564144623110728,nan,nan,4,True,,False
