cost_type,depth,n,num_samples,mean_gradient,variance,variance_stderr
global,1,2,250,0.0032498469853984293,0.049279469365397774,0.0044165316499194685
global,1,4,250,0.0051369358612344375,0.006099952655205017,0.0005466908290948435
global,1,6,250,0.0012436513943648363,0.0012096687424388666,0.00010841310500495913
global,1,8,250,0.00019279227143535315,8.454494028031152e-05,7.577098726853005e-06
global,1,10,250,-0.00017433949834965822,1.4537101093581006e-05,1.3028461528638294e-06
global,1,12,250,4.228907214517563e-05,1.4613234673634275e-06,1.309669407461677e-07
global,1,14,250,3.2972248758340595e-05,2.3576629419824685e-07,2.112988053077379e-08
global,2,2,250,0.0010018069417735602,0.030246457419607815,0.0027107523317902752
global,2,4,250,0.0009460534714529345,0.003511795592592292,0.00031473464674970853
global,2,6,250,-0.0011846139865752628,0.0003991386943243768,3.577166513543917e-05
global,2,8,250,-0.0002400131507748875,2.990084230244295e-05,2.679777564340343e-06
global,2,10,250,0.00021098712799668152,3.6894373783803217e-06,3.3065528427653907e-07
global,2,12,250,2.128423076260133e-05,3.5906189691579485e-07,3.2179896667520237e-08
global,2,14,250,-3.8398668526706814e-07,1.613632854878986e-08,1.446172344527522e-09
global,4,2,250,0.009029526719638446,0.025053972013595622,0.00224539066226101
global,4,4,250,0.0016212643860252561,0.002177107527508914,0.00019511704213423455
global,4,6,250,-0.0007758143244493673,0.00012159620901453029,1.0897712831298892e-05
global,4,8,250,-1.447090296747211e-05,8.84989704068296e-06,7.931467380237169e-07
global,4,10,250,1.8930472200345604e-05,8.731222804155438e-07,7.825108986284604e-08
global,4,12,250,-3.424631316111637e-05,9.7366617885201e-08,8.726204950525528e-09
global,4,14,250,3.963517935499761e-06,6.791994742785702e-09,6.087131240228516e-10
global,8,2,250,-0.001032863516250113,0.0244322285086226,0.002189668676955435
global,8,4,250,-0.0014279863770168852,0.0017903020204266139,0.00016045070366932284
global,8,6,250,-0.0008588922569001229,0.00010555020735143265,9.459635775836686e-06
global,8,8,250,-9.25826734031403e-05,8.019746922547713e-06,7.187469054333299e-07
global,8,10,250,-3.534510068747565e-05,4.808311010123644e-07,4.309311368879816e-08
global,8,12,250,4.574666028911211e-06,3.045052188154e-08,2.7290410261766663e-09
global,8,14,250,2.290207610076811e-06,1.9968964871291413e-09,1.7896614250500603e-10
global,16,2,250,-0.011578555175073358,0.02224791846039033,0.001993906129479046
global,16,4,250,-0.001207460987860059,0.0016057908697702625,0.00014391441894201552
global,16,6,250,-0.00010173858557764847,0.00013084925735155916,1.1726990852450183e-05
global,16,8,250,0.0001394009705862993,7.00303310139271e-06,6.276268339742287e-07
global,16,10,250,6.890075357613301e-05,5.228387898123392e-07,4.6857932781093973e-08
global,16,12,250,3.849986501843095e-06,3.00205417983331e-08,2.6905052896767986e-09
global,16,14,250,-1.8882746190886923e-06,1.9626039419332667e-09,1.758927711159825e-10
local,1,2,250,0.008512593955525618,0.014919592068393536,0.0013371258137007264
local,1,4,250,-2.3198206263109976e-05,0.003303114038086117,0.0002960321586324549
local,1,6,250,-4.236384696148687e-05,0.0007856556449992475,7.041214255674367e-05
local,1,8,250,0.0004078601510790011,0.00034150805274015347,3.0606683534792974e-05
local,1,10,250,-0.0004672766063223345,7.481296486878577e-05,6.7048982349495435e-06
