experiment,algorithm,n,B,M,tile,misses,hits,total_accesses,seconds,tall_cache_ratio,capacity_ratio
scaling_n,naive,80,8,2048,20,65600,964800,1030400,0.4083846120001908,,
scaling_n,naive,96,8,2048,24,112896,1665792,1778688,0.7098184520000359,,
scaling_n,naive,112,8,2048,16,178752,2643648,2822400,1.1492211729998871,,
scaling_n,naive,128,8,2048,16,266240,3944448,4210688,1.7603233209999871,,
scaling_n,naive,160,8,2048,20,518400,7699200,8217600,3.4254012600001715,,
scaling_n,naive,192,8,2048,24,893952,13298688,14192640,6.23620234100008,,
scaling_n,blocked,80,8,2048,20,7840,1060960,1068800,0.4258316600000853,,
scaling_n,blocked,96,8,2048,24,13632,1820352,1833984,0.7544589970000288,,
scaling_n,blocked,112,8,2048,16,23520,2949408,2972928,1.2498251019999316,,
scaling_n,blocked,128,8,2048,16,34816,4405248,4440064,1.8405853159999879,,
scaling_n,blocked,160,8,2048,20,59520,8516480,8576000,3.5441890459999286,,
scaling_n,blocked,192,8,2048,24,108800,14599936,14708736,6.101631973999929,,
scaling_n,oblivious,80,8,2048,20,7680,1221120,1228800,0.5259757999999692,,
scaling_n,oblivious,96,8,2048,24,12384,2052000,2064384,0.9259505469999567,,
scaling_n,oblivious,112,8,2048,16,24192,3187072,3211264,1.4124040450001303,,
scaling_n,oblivious,128,8,2048,16,32768,4685824,4718592,1.9889078409999001,,
scaling_n,oblivious,160,8,2048,20,61440,9768960,9830400,4.234574131999807,,
scaling_n,oblivious,192,8,2048,24,99072,16416000,16515072,7.3273414120001235,,
scaling_B,naive,64,2,4096,32,135168,393216,528384,0.24378783900010603,,
scaling_B,naive,64,4,4096,32,67584,460800,528384,0.222657788999868,,
scaling_B,naive,64,6,4096,32,45183,483201,528384,0.22351656199998615,,
scaling_B,naive,64,8,4096,32,33792,494592,528384,0.2044236589999855,,
scaling_B,naive,64,12,4096,32,22613,505771,528384,0.2098039869999866,,
scaling_B,naive,64,16,4096,32,16896,511488,528384,0.19777000799990674,,
scaling_B,naive,64,24,4096,32,11391,516993,528384,0.18782379300000684,,
scaling_B,naive,64,32,4096,32,8448,519936,528384,0.18479353499992612,,
scaling_B,blocked,64,2,4096,32,11920,524656,536576,0.21735969100018337,,
scaling_B,blocked,64,4,4096,32,5840,530736,536576,0.2191124270000273,,
scaling_B,blocked,64,6,4096,32,4437,532139,536576,0.2063640779999787,,
scaling_B,blocked,64,8,4096,32,2800,533776,536576,0.20218468300004133,,
scaling_B,blocked,64,12,4096,32,2540,534036,536576,0.19947775600007844,,
scaling_B,blocked,64,16,4096,32,1280,535296,536576,0.1966427949998888,,
scaling_B,blocked,64,24,4096,32,1534,535042,536576,0.1999239970000417,,
scaling_B,blocked,64,32,4096,32,640,535936,536576,0.19221410699992703,,
scaling_B,oblivious,64,2,4096,32,10240,579584,589824,0.2536335209999834,,
scaling_B,oblivious,64,4,4096,32,5120,584704,589824,0.24640854700010095,,
scaling_B,oblivious,64,6,4096,32,4008,585816,589824,0.24062443599996186,,
scaling_B,oblivious,64,8,4096,32,2560,587264,589824,0.24467768399995293,,
scaling_B,oblivious,64,12,4096,32,2216,587608,589824,0.2368374259999655,,
scaling_B,oblivious,64,16,4096,32,1280,588544,589824,0.23643434900009197,,
scaling_B,oblivious,64,24,4096,32,1526,588298,589824,0.26011871900004735,,
scaling_B,oblivious,64,32,4096,32,640,589184,589824,0.2366843830000107,,
scaling_M,naive,64,8,512,8,299008,229376,528384,0.26363824199984265,,
scaling_M,naive,64,8,768,16,33792,494592,528384,0.20971924600007696,,
scaling_M,naive,64,8,1024,16,33792,494592,528384,0.2097457279999162,,
scaling_M,naive,64,8,1536,16,33792,494592,528384,0.2070644349998929,,
scaling_M,naive,64,8,2048,16,33792,494592,528384,0.21747189099983188,,
scaling_M,naive,64,8,3072,32,33792,494592,528384,0.21147030199995243,,
scaling_M,naive,64,8,4096,32,33792,494592,528384,0.21082139999998617,,
scaling_M,naive,64,8,6144,32,1536,526848,528384,0.2002414129999579,,
scaling_M,naive,64,8,8192,32,1536,526848,528384,0.20595956300007856,,
scaling_M,blocked,64,8,512,8,8704,577024,585728,0.23468778100004783,,
scaling_M,blocked,64,8,768,16,6048,546912,552960,0.21810567599982278,,
scaling_M,blocked,64,8,1024,16,4608,548352,552960,0.2122288779999053,,
scaling_M,blocked,64,8,1536,16,4608,548352,552960,0.21975667100014107,,
scaling_M,blocked,64,8,2048,16,4608,548352,552960,0.21513501000003998,,
scaling_M,blocked,64,8,3072,32,3064,533512,536576,0.20934951200001706,,
scaling_M,blocked,64,8,4096,32,2800,533776,536576,0.2035163600000942,,
scaling_M,blocked,64,8,6144,32,2540,534036,536576,0.2073756089998824,,
scaling_M,blocked,64,8,8192,32,2048,534528,536576,0.2099743280000439,,
scaling_M,oblivious,64,8,512,8,8192,581632,589824,0.2485504440001023,,
scaling_M,oblivious,64,8,768,16,6112,583712,589824,0.2575381839999409,,
scaling_M,oblivious,64,8,1024,16,5120,584704,589824,0.24071673799994642,,
scaling_M,oblivious,64,8,1536,16,4304,585520,589824,0.2433304619999035,,
scaling_M,oblivious,64,8,2048,16,4096,585728,589824,0.24989829200012537,,
scaling_M,oblivious,64,8,3072,32,3068,586756,589824,0.2427670820000003,,
scaling_M,oblivious,64,8,4096,32,2560,587264,589824,0.25122986700012007,,
scaling_M,oblivious,64,8,6144,32,2136,587688,589824,0.24781745599989335,,
scaling_M,oblivious,64,8,8192,32,2048,587776,589824,0.2421152350000284,,
naive_capacity_cliff,naive,64,8,128,4,299008,229376,528384,0.2719514269999763,,0.25
naive_capacity_cliff,naive,64,8,192,8,299008,229376,528384,0.266290644000037,,0.375
naive_capacity_cliff,naive,64,8,256,8,299008,229376,528384,0.26852045600003294,,0.5
naive_capacity_cliff,naive,64,8,320,8,299008,229376,528384,0.2779276509997999,,0.625
naive_capacity_cliff,naive,64,8,384,8,299008,229376,528384,0.25701012499985154,,0.75
naive_capacity_cliff,naive,64,8,448,8,299008,229376,528384,0.25862013200003275,,0.875
naive_capacity_cliff,naive,64,8,480,8,299008,229376,528384,0.26787899099986134,,0.9375
naive_capacity_cliff,naive,64,8,512,8,299008,229376,528384,0.26579739999988305,,1.0
naive_capacity_cliff,naive,64,8,544,8,266752,261632,528384,0.2556987880000179,,1.0625
naive_capacity_cliff,naive,64,8,576,8,266752,261632,528384,0.265896587999805,,1.125
naive_capacity_cliff,naive,64,8,640,8,33792,494592,528384,0.21619372400004977,,1.25
naive_capacity_cliff,naive,64,8,768,16,33792,494592,528384,0.21707637199983765,,1.5
naive_capacity_cliff,naive,64,8,1024,16,33792,494592,528384,0.20688727900005688,,2.0
tall_cache_boundary,naive,64,32,128,4,274432,253952,528384,0.2634935809999206,0.125,
tall_cache_boundary,naive,64,32,256,8,274432,253952,528384,0.25755115699985254,0.25,
tall_cache_boundary,naive,64,32,512,8,274432,253952,528384,0.25055786899997656,0.5,
tall_cache_boundary,naive,64,32,768,16,274432,253952,528384,0.243557471000031,0.75,
tall_cache_boundary,naive,64,32,1024,16,274432,253952,528384,0.2519733999999971,1.0,
tall_cache_boundary,naive,64,32,1536,16,266368,262016,528384,0.24259803600011765,1.5,
tall_cache_boundary,naive,64,32,2048,16,266368,262016,528384,0.24055497199992715,2.0,
tall_cache_boundary,naive,64,32,4096,32,8448,519936,528384,0.18317251600001327,4.0,
tall_cache_boundary,naive,64,32,8192,32,384,528000,528384,0.18068317400002343,8.0,
tall_cache_boundary,blocked,64,32,128,4,359424,291840,651264,0.32898208200003864,0.125,
tall_cache_boundary,blocked,64,32,256,8,302592,283136,585728,0.277389439999979,0.25,
tall_cache_boundary,blocked,64,32,512,8,12288,573440,585728,0.21997193099991819,0.5,
tall_cache_boundary,blocked,64,32,768,16,3072,549888,552960,0.2102695879998464,0.75,
tall_cache_boundary,blocked,64,32,1024,16,3072,549888,552960,0.20260018499993748,1.0,
tall_cache_boundary,blocked,64,32,1536,16,2936,550024,552960,0.20681558899991614,1.5,
tall_cache_boundary,blocked,64,32,2048,16,1664,551296,552960,0.2065666189998865,2.0,
tall_cache_boundary,blocked,64,32,4096,32,640,535936,536576,0.19270652899990637,4.0,
tall_cache_boundary,blocked,64,32,8192,32,512,536064,536576,0.20700147999991714,8.0,
tall_cache_boundary,oblivious,64,32,128,4,299008,290816,589824,0.33891740700005357,0.125,
tall_cache_boundary,oblivious,64,32,256,8,299008,290816,589824,0.29779176099987126,0.25,
tall_cache_boundary,oblivious,64,32,512,8,12288,577536,589824,0.22505913300005886,0.5,
tall_cache_boundary,oblivious,64,32,768,16,11520,578304,589824,0.22412063199999466,0.75,
tall_cache_boundary,oblivious,64,32,1024,16,4096,585728,589824,0.22054974200000288,1.0,
tall_cache_boundary,oblivious,64,32,1536,16,2976,586848,589824,0.2210228400001597,1.5,
tall_cache_boundary,oblivious,64,32,2048,16,1024,588800,589824,0.2232012769998164,2.0,
tall_cache_boundary,oblivious,64,32,4096,32,640,589184,589824,0.22928805299989108,4.0,
tall_cache_boundary,oblivious,64,32,8192,32,512,589312,589824,0.22841966500004673,8.0,
