n,delta,rho,m,k,success_rate,trials
40,0.1,0.05,4,2,0.125,8
40,0.26,0.05,10,2,0.875,8
40,0.42000000000000004,0.05,17,2,1.0,8
40,0.58,0.05,23,2,1.0,8
40,0.74,0.05,30,2,1.0,8
40,0.9,0.05,36,2,1.0,8
40,0.1,0.15000000000000002,4,4,0.0,8
40,0.26,0.15000000000000002,10,6,0.0,8
40,0.42000000000000004,0.15000000000000002,17,6,0.5,8
40,0.58,0.15000000000000002,23,6,1.0,8
40,0.74,0.15000000000000002,30,6,1.0,8
40,0.9,0.15000000000000002,36,6,1.0,8
40,0.1,0.25,4,4,0.0,8
40,0.26,0.25,10,10,0.0,8
40,0.42000000000000004,0.25,17,10,0.125,8
40,0.58,0.25,23,10,0.5,8
40,0.74,0.25,30,10,1.0,8
40,0.9,0.25,36,10,1.0,8
40,0.1,0.35000000000000003,4,4,0.0,8
40,0.26,0.35000000000000003,10,10,0.0,8
40,0.42000000000000004,0.35000000000000003,17,14,0.0,8
40,0.58,0.35000000000000003,23,14,0.25,8
40,0.74,0.35000000000000003,30,14,0.625,8
40,0.9,0.35000000000000003,36,14,1.0,8
40,0.1,0.45,4,4,0.0,8
40,0.26,0.45,10,10,0.0,8
40,0.42000000000000004,0.45,17,17,0.0,8
40,0.58,0.45,23,18,0.0,8
40,0.74,0.45,30,18,0.5,8
40,0.9,0.45,36,18,0.875,8
80,0.1,0.05,8,4,0.125,8
80,0.26,0.05,21,4,0.625,8
80,0.42000000000000004,0.05,34,4,1.0,8
80,0.58,0.05,46,4,1.0,8
80,0.74,0.05,59,4,1.0,8
80,0.9,0.05,72,4,1.0,8
80,0.1,0.15000000000000002,8,8,0.0,8
80,0.26,0.15000000000000002,21,12,0.0,8
80,0.42000000000000004,0.15000000000000002,34,12,0.75,8
80,0.58,0.15000000000000002,46,12,1.0,8
80,0.74,0.15000000000000002,59,12,1.0,8
80,0.9,0.15000000000000002,72,12,1.0,8
80,0.1,0.25,8,8,0.0,8
80,0.26,0.25,21,20,0.0,8
80,0.42000000000000004,0.25,34,20,0.0,8
80,0.58,0.25,46,20,0.375,8
80,0.74,0.25,59,20,1.0,8
80,0.9,0.25,72,20,1.0,8
80,0.1,0.35000000000000003,8,8,0.0,8
80,0.26,0.35000000000000003,21,21,0.0,8
80,0.42000000000000004,0.35000000000000003,34,28,0.0,8
80,0.58,0.35000000000000003,46,28,0.125,8
80,0.74,0.35000000000000003,59,28,1.0,8
80,0.9,0.35000000000000003,72,28,1.0,8
80,0.1,0.45,8,8,0.0,8
80,0.26,0.45,21,21,0.0,8
80,0.42000000000000004,0.45,34,34,0.0,8
80,0.58,0.45,46,36,0.0,8
80,0.74,0.45,59,36,0.0,8
80,0.9,0.45,72,36,1.0,8
