sigma,T,C,lr,delta,N,epsilon_theory,alpha_star,eps_lower,ratio_audit_over_theory,tp,fp,mean_in,mean_out,mean_shift_is_negative,elapsed_sec
0.5,1,1.0,0.1,1e-05,2000,11.597091046990041,3.4061322645290577,4.271871245163831,0.36835713610031295,2000,1762,3.7967476988250564,3.895407955470477,True,0.6329295635223389
0.5,2,1.0,0.1,1e-05,2000,17.572394983963697,2.703507014028056,5.379186342428035,0.3061157199879128,1065,1,3.6299605663953263,3.8221513519898194,True,0.7393233776092529
0.5,4,1.0,0.1,1e-05,2000,27.194105842099027,2.199058116232465,6.195295148714659,0.22781757137694747,2000,499,3.3886890314760576,3.706009611714548,True,0.9535837173461914
0.5,8,1.0,0.1,1e-05,2000,43.14590652160914,1.856753507014028,6.445595890718044,0.1493906701784059,1903,0,3.1616941226970408,3.622441340856137,True,1.3746466636657715
1.0,1,1.0,0.1,1e-05,2000,5.298527367465692,5.802264529058116,2.634903216340867,0.49728972478652167,80,1,3.798570820575076,3.8950437521307304,True,0.6251726150512695
1.0,2,1.0,0.1,1e-05,2000,7.78614500304897,4.3970140280561125,3.189737121665117,0.4096683429882247,1998,1827,3.6341980535398637,3.8219813255595785,True,0.825314998626709
1.0,4,1.0,0.1,1e-05,2000,11.597091046990041,3.4061322645290577,4.001040470296383,0.34500379914968676,1997,1546,3.395108099905174,3.7104768708867986,True,0.9097447395324707
1.0,8,1.0,0.1,1e-05,2000,17.572394983963697,2.703507014028056,4.669388012661106,0.26572291465803716,538,1,3.175139234745933,3.630876122989451,True,1.360724925994873
2.0,1,1.0,0.1,1e-05,2000,2.5292139405522476,10.0,1.0031702913613454,0.3966332287186056,1990,1942,3.791271738272214,3.9008428314013783,True,0.6609241962432861
2.0,2,1.0,0.1,1e-05,2000,3.6430703766415693,7.784028056112224,1.4483532922250115,0.39756390694823807,36,2,3.645476180105798,3.8370377005013396,True,0.6938145160675049
2.0,4,1.0,0.1,1e-05,2000,5.298527367465692,5.802264529058116,2.483044919332367,0.4686292524558608,1997,1891,3.4190993687541686,3.737241244694447,True,0.9076499938964844
2.0,8,1.0,0.1,1e-05,2000,7.78614500304897,4.3970140280561125,3.333816499047731,0.4281729273911858,1999,1848,3.2514317577525533,3.701295719601635,True,1.310868740081787
