K,T,seed,regret
2,8000,0,137.0
2,8000,1,202.0
2,8000,2,156.0
2,8000,3,117.0
2,8000,4,168.0
2,8000,5,124.0
2,8000,6,142.0
2,8000,7,159.0
2,8000,8,138.0
2,8000,9,138.0
2,8000,10,162.0
2,8000,11,132.0
2,8000,12,138.0
2,8000,13,163.0
2,8000,14,145.0
4,8000,0,380.0
4,8000,1,322.0
4,8000,2,339.0
4,8000,3,307.0
4,8000,4,274.0
4,8000,5,313.0
4,8000,6,316.0
4,8000,7,301.0
4,8000,8,306.0
4,8000,9,325.0
4,8000,10,316.0
4,8000,11,411.0
4,8000,12,309.0
4,8000,13,353.0
4,8000,14,334.0
8,8000,0,552.0
8,8000,1,521.0
8,8000,2,582.0
8,8000,3,540.0
8,8000,4,413.0
8,8000,5,489.0
8,8000,6,554.0
8,8000,7,514.0
8,8000,8,569.0
8,8000,9,588.0
8,8000,10,623.0
8,8000,11,658.0
8,8000,12,656.0
8,8000,13,543.0
8,8000,14,570.0
16,8000,0,1023.0
16,8000,1,874.0
16,8000,2,1016.0
16,8000,3,994.0
16,8000,4,1073.0
16,8000,5,1061.0
16,8000,6,1023.0
16,8000,7,901.0
16,8000,8,902.0
16,8000,9,865.0
16,8000,10,1125.0
16,8000,11,889.0
16,8000,12,770.0
16,8000,13,972.0
16,8000,14,819.0
32,8000,0,1301.0
32,8000,1,1565.0
32,8000,2,1593.0
32,8000,3,1691.0
32,8000,4,1404.0
32,8000,5,1516.0
32,8000,6,1317.0
32,8000,7,1298.0
32,8000,8,1421.0
32,8000,9,1477.0
32,8000,10,1480.0
32,8000,11,1148.0
32,8000,12,1315.0
32,8000,13,1261.0
32,8000,14,1501.0
64,8000,0,2075.0
64,8000,1,2015.0
64,8000,2,1849.0
64,8000,3,1811.0
64,8000,4,1903.0
64,8000,5,1742.0
64,8000,6,1939.0
64,8000,7,1936.0
64,8000,8,1757.0
64,8000,9,1970.0
64,8000,10,1747.0
64,8000,11,1981.0
64,8000,12,2001.0
64,8000,13,1995.0
64,8000,14,1876.0
