K,T,seed,regret
8,500,0,74.0
8,500,1,126.0
8,500,2,76.0
8,500,3,76.0
8,500,4,93.0
8,500,5,95.0
8,500,6,83.0
8,500,7,77.0
8,500,8,118.0
8,500,9,137.0
8,500,10,152.0
8,500,11,117.0
8,500,12,118.0
8,500,13,114.0
8,500,14,105.0
8,1000,0,187.0
8,1000,1,133.0
8,1000,2,181.0
8,1000,3,168.0
8,1000,4,125.0
8,1000,5,190.0
8,1000,6,168.0
8,1000,7,153.0
8,1000,8,159.0
8,1000,9,166.0
8,1000,10,175.0
8,1000,11,171.0
8,1000,12,131.0
8,1000,13,212.0
8,1000,14,192.0
8,2000,0,351.0
8,2000,1,241.0
8,2000,2,304.0
8,2000,3,270.0
8,2000,4,317.0
8,2000,5,249.0
8,2000,6,317.0
8,2000,7,235.0
8,2000,8,327.0
8,2000,9,249.0
8,2000,10,253.0
8,2000,11,287.0
8,2000,12,288.0
8,2000,13,291.0
8,2000,14,280.0
8,4000,0,412.0
8,4000,1,277.0
8,4000,2,428.0
8,4000,3,437.0
8,4000,4,470.0
8,4000,5,412.0
8,4000,6,449.0
8,4000,7,363.0
8,4000,8,454.0
8,4000,9,381.0
8,4000,10,391.0
8,4000,11,329.0
8,4000,12,373.0
8,4000,13,368.0
8,4000,14,292.0
8,8000,0,507.0
8,8000,1,600.0
8,8000,2,575.0
8,8000,3,583.0
8,8000,4,564.0
8,8000,5,579.0
8,8000,6,463.0
8,8000,7,544.0
8,8000,8,492.0
8,8000,9,561.0
8,8000,10,667.0
8,8000,11,652.0
8,8000,12,557.0
8,8000,13,527.0
8,8000,14,623.0
8,16000,0,767.0
8,16000,1,808.0
8,16000,2,649.0
8,16000,3,812.0
8,16000,4,901.0
8,16000,5,769.0
8,16000,6,821.0
8,16000,7,809.0
8,16000,8,927.0
8,16000,9,804.0
8,16000,10,756.0
8,16000,11,730.0
8,16000,12,739.0
8,16000,13,772.0
8,16000,14,778.0
8,32000,0,1131.0
8,32000,1,1203.0
8,32000,2,1095.0
8,32000,3,1205.0
8,32000,4,1034.0
8,32000,5,1028.0
8,32000,6,1041.0
8,32000,7,1227.0
8,32000,8,1214.0
8,32000,9,1222.0
8,32000,10,1109.0
8,32000,11,1216.0
8,32000,12,1095.0
8,32000,13,1218.0
8,32000,14,1206.0
