env,algo,K,T,seed,regret
stochastic,EXP3,8,500,0,106.0
stochastic,EXP3,8,500,1,100.0
stochastic,EXP3,8,500,2,107.0
stochastic,EXP3,8,500,3,126.0
stochastic,EXP3,8,500,4,106.0
stochastic,EXP3,8,500,5,93.0
stochastic,EXP3,8,500,6,126.0
stochastic,EXP3,8,500,7,95.0
stochastic,EXP3,8,500,8,102.0
stochastic,EXP3,8,500,9,84.0
stochastic,EXP3,8,500,10,102.0
stochastic,EXP3,8,500,11,97.0
stochastic,EXP3,8,500,12,104.0
stochastic,EXP3,8,500,13,106.0
stochastic,EXP3,8,500,14,58.0
stochastic,UCB1,8,500,0,105.0
stochastic,UCB1,8,500,1,83.0
stochastic,UCB1,8,500,2,83.0
stochastic,UCB1,8,500,3,83.0
stochastic,UCB1,8,500,4,93.0
stochastic,UCB1,8,500,5,70.0
stochastic,UCB1,8,500,6,83.0
stochastic,UCB1,8,500,7,99.0
stochastic,UCB1,8,500,8,87.0
stochastic,UCB1,8,500,9,97.0
stochastic,UCB1,8,500,10,94.0
stochastic,UCB1,8,500,11,96.0
stochastic,UCB1,8,500,12,88.0
stochastic,UCB1,8,500,13,73.0
stochastic,UCB1,8,500,14,98.0
stochastic,EXP3,8,1000,0,152.0
stochastic,EXP3,8,1000,1,159.0
stochastic,EXP3,8,1000,2,137.0
stochastic,EXP3,8,1000,3,209.0
stochastic,EXP3,8,1000,4,187.0
stochastic,EXP3,8,1000,5,123.0
stochastic,EXP3,8,1000,6,180.0
stochastic,EXP3,8,1000,7,186.0
stochastic,EXP3,8,1000,8,185.0
stochastic,EXP3,8,1000,9,183.0
stochastic,EXP3,8,1000,10,141.0
stochastic,EXP3,8,1000,11,219.0
stochastic,EXP3,8,1000,12,101.0
stochastic,EXP3,8,1000,13,134.0
stochastic,EXP3,8,1000,14,172.0
stochastic,UCB1,8,1000,0,124.0
stochastic,UCB1,8,1000,1,133.0
stochastic,UCB1,8,1000,2,155.0
stochastic,UCB1,8,1000,3,133.0
stochastic,UCB1,8,1000,4,153.0
stochastic,UCB1,8,1000,5,132.0
stochastic,UCB1,8,1000,6,133.0
stochastic,UCB1,8,1000,7,129.0
stochastic,UCB1,8,1000,8,143.0
stochastic,UCB1,8,1000,9,144.0
stochastic,UCB1,8,1000,10,140.0
stochastic,UCB1,8,1000,11,134.0
stochastic,UCB1,8,1000,12,120.0
stochastic,UCB1,8,1000,13,131.0
stochastic,UCB1,8,1000,14,160.0
stochastic,EXP3,8,2000,0,300.0
stochastic,EXP3,8,2000,1,304.0
stochastic,EXP3,8,2000,2,291.0
stochastic,EXP3,8,2000,3,320.0
stochastic,EXP3,8,2000,4,274.0
stochastic,EXP3,8,2000,5,392.0
