env,algo,K,T,seed,regret,num_segments,segment_length
switching,EXP3,5,8000,0,1517.9999999998613,2,4000
switching,EXP3,5,8000,1,1393.7999999998801,2,4000
switching,EXP3,5,8000,2,1457.3999999998705,2,4000
switching,EXP3,5,8000,3,1504.1999999998634,2,4000
switching,EXP3,5,8000,4,1220.9999999999063,2,4000
switching,EXP3,5,8000,5,1446.2999999998722,2,4000
switching,EXP3,5,8000,6,1070.699999999929,2,4000
switching,EXP3,5,8000,7,1160.6999999999155,2,4000
switching,EXP3,5,8000,8,1376.3999999998828,2,4000
switching,EXP3,5,8000,9,1368.899999999884,2,4000
switching,EXP3,5,8000,10,1602.8999999998484,2,4000
switching,EXP3,5,8000,11,1165.1999999999148,2,4000
switching,UCB1,5,8000,0,281.4000000000049,2,4000
switching,UCB1,5,8000,1,211.5000000000023,2,4000
switching,UCB1,5,8000,2,203.700000000002,2,4000
switching,UCB1,5,8000,3,237.00000000000327,2,4000
switching,UCB1,5,8000,4,186.30000000000135,2,4000
switching,UCB1,5,8000,5,241.50000000000344,2,4000
switching,UCB1,5,8000,6,213.9000000000024,2,4000
switching,UCB1,5,8000,7,141.89999999999966,2,4000
switching,UCB1,5,8000,8,166.20000000000059,2,4000
switching,UCB1,5,8000,9,163.8000000000005,2,4000
switching,UCB1,5,8000,10,261.6000000000042,2,4000
switching,UCB1,5,8000,11,199.50000000000185,2,4000
switching,EXP3,5,8000,0,1757.699999999825,4,2000
switching,EXP3,5,8000,1,1705.7999999998328,4,2000
switching,EXP3,5,8000,2,1780.7999999998215,4,2000
switching,EXP3,5,8000,3,1783.199999999821,4,2000
switching,EXP3,5,8000,4,1834.7999999998133,4,2000
switching,EXP3,5,8000,5,1800.2999999998185,4,2000
switching,EXP3,5,8000,6,1698.8999999998339,4,2000
switching,EXP3,5,8000,7,1848.2999999998112,4,2000
switching,EXP3,5,8000,8,1797.8999999998189,4,2000
switching,EXP3,5,8000,9,1890.8999999998048,4,2000
switching,EXP3,5,8000,10,1775.3999999998223,4,2000
switching,EXP3,5,8000,11,1889.399999999805,4,2000
switching,UCB1,5,8000,0,231.90000000000308,4,2000
switching,UCB1,5,8000,1,254.10000000000392,4,2000
switching,UCB1,5,8000,2,325.2000000000066,4,2000
switching,UCB1,5,8000,3,313.80000000000615,4,2000
switching,UCB1,5,8000,4,252.00000000000384,4,2000
switching,UCB1,5,8000,5,270.6000000000045,4,2000
switching,UCB1,5,8000,6,295.80000000000547,4,2000
switching,UCB1,5,8000,7,233.40000000000313,4,2000
switching,UCB1,5,8000,8,393.30000000000916,4,2000
switching,UCB1,5,8000,9,420.0000000000102,4,2000
switching,UCB1,5,8000,10,194.70000000000167,4,2000
switching,UCB1,5,8000,11,291.6000000000053,4,2000
switching,EXP3,5,8000,0,1906.4999999998024,8,1000
switching,EXP3,5,8000,1,1822.1999999998152,8,1000
switching,EXP3,5,8000,2,1850.399999999811,8,1000
switching,EXP3,5,8000,3,1890.5999999998048,8,1000
switching,EXP3,5,8000,4,1913.0999999998014,8,1000
switching,EXP3,5,8000,5,1825.1999999998147,8,1000
switching,EXP3,5,8000,6,1855.4999999998101,8,1000
switching,EXP3,5,8000,7,1904.0999999998028,8,1000
switching,EXP3,5,8000,8,1877.0999999998069,8,1000
switching,EXP3,5,8000,9,1913.6999999998013,8,1000
switching,EXP3,5,8000,10,1836.599999999813,8,1000
switching,EXP3,5,8000,11,1891.7999999998046,8,1000
switching,UCB1,5,8000,0,417.3000000000101,8,1000
switching,UCB1,5,8000,1,360.6000000000079,8,1000
switching,UCB1,5,8000,2,468.900000000012,8,1000
switching,UCB1,5,8000,3,358.50000000000784,8,1000
switching,UCB1,5,8000,4,413.1000000000099,8,1000
switching,UCB1,5,8000,5,451.50000000001137,8,1000
switching,UCB1,5,8000,6,378.6000000000086,8,1000
switching,UCB1,5,8000,7,347.1000000000074,8,1000
switching,UCB1,5,8000,8,387.90000000000896,8,1000
switching,UCB1,5,8000,9,431.1000000000106,8,1000
switching,UCB1,5,8000,10,491.10000000001287,8,1000
switching,UCB1,5,8000,11,453.0000000000114,8,1000
switching,EXP3,5,8000,0,1908.599999999802,16,500
switching,EXP3,5,8000,1,1907.3999999998023,16,500
switching,EXP3,5,8000,2,1910.9999999998017,16,500
switching,EXP3,5,8000,3,1901.3999999998032,16,500
switching,EXP3,5,8000,4,1907.3999999998023,16,500
switching,EXP3,5,8000,5,1885.4999999998056,16,500
switching,EXP3,5,8000,6,1882.199999999806,16,500
switching,EXP3,5,8000,7,1906.4999999998024,16,500
switching,EXP3,5,8000,8,1904.0999999998028,16,500
switching,EXP3,5,8000,9,1916.6999999998009,16,500
switching,EXP3,5,8000,10,1896.8999999998039,16,500
switching,EXP3,5,8000,11,1913.9999999998013,16,500
switching,UCB1,5,8000,0,602.1,16,500
switching,UCB1,5,8000,1,500.70000000001323,16,500
switching,UCB1,5,8000,2,494.100000000013,16,500
switching,UCB1,5,8000,3,602.6999999999999,16,500
switching,UCB1,5,8000,4,563.1000000000059,16,500
switching,UCB1,5,8000,5,562.500000000006,16,500
switching,UCB1,5,8000,6,543.000000000009,16,500
switching,UCB1,5,8000,7,547.8000000000083,16,500
switching,UCB1,5,8000,8,597.9000000000007,16,500
switching,UCB1,5,8000,9,567.9000000000052,16,500
