n,c,t,exact_tv,chi_square_bound,limiting_profile
50,-4.0,0,0.999999999999999,1.0,1.0
50,-3.75,4,0.9999999997769107,1.0,1.0
50,-3.5,10,0.9999880693341614,1.0,1.0
50,-3.25,17,0.9986922345545216,1.0,1.0
50,-3.0,23,0.9931713614316425,1.0,1.0
50,-2.75,29,0.9777275997860506,1.0,1.0
50,-2.5,35,0.9510875889387022,1.0,1.0
50,-2.25,42,0.9041133012911413,1.0,1.0
50,-2.0,48,0.849370466698256,1.0,1.0
50,-1.75,54,0.7943968619549631,1.0,1.0
50,-1.5,60,0.7312436070417178,1.0,1.0
50,-1.25,67,0.6582669009621536,1.0,1.0
50,-1.0,73,0.5958148821623033,1.0,1.0
50,-0.75,79,0.5397779545847433,1.0,1.0
50,-0.5,85,0.4834945595671913,0.9395316247700847,1.0
50,-0.25,92,0.42387111098158176,0.7360064047891816,0.8079521765268818
50,0.0,98,0.38038514781207466,0.6104912038749356,0.6554162472160431
50,0.25,104,0.3394838722375406,0.5141911483073985,0.542876085081142
50,0.5,110,0.30175318264706413,0.4381444929923796,0.45663370966193667
50,0.75,117,0.2620507431844908,0.3675555756577091,0.3885180651651409
50,1.0,123,0.23182551037571564,0.3184422730290187,0.3334171040190373
50,1.25,129,0.20661697101077114,0.2772719654531889,0.28799503301587925
50,1.5,135,0.18381542728608302,0.24235549830055164,0.24999163043732667
50,1.75,142,0.16010130657200122,0.20790732281543484,0.21782250593656163
50,2.0,148,0.14207349527364516,0.1827487657025325,0.19034218705232506
50,2.25,154,0.12598569864153444,0.16091053963285437,0.16669892158989089
50,2.5,160,0.11166167902127139,0.1418711119795789,0.14624301350909108
50,2.75,167,0.09695071155621483,0.12264529938662244,0.12846740337166176
50,3.0,173,0.0858707899336006,0.10834601326865766,0.1129682160346622
50,3.25,179,0.07604466814611212,0.09577176426672833,0.09941797890848432
50,3.5,185,0.06733588348927416,0.08469674658531398,0.08754705687608565
50,3.75,192,0.05842354738971456,0.07341757449169227,0.07713052043475117
50,4.0,198,0.05172789358347214,0.06497277130415596,0.0679786711849241
50,4.25,204,0.0457993817695389,0.05751167370355945,0.059930070798138446
50,4.5,210,0.04055073625528863,0.050915897665480284,0.05284631153037487
50,4.75,217,0.035183477476417806,0.044177851010617795,0.046608017777135545
50,5.0,223,0.031152993833325947,0.03912096173673642,0.041111732004636026
50,5.25,229,0.027585053964784924,0.03464556750267478,0.03626744662396137
50,5.5,235,0.024426517073885122,0.03068398567925964,0.03199661574486084
50,5.75,242,0.02119651988398434,0.0266324922530472,0.02823052966750735
50,6.0,248,0.018770751561025575,0.02358925542710957,0.024908968378611816
100,-4.0,30,0.9999990788956507,1.0,1.0
100,-3.75,43,0.9999406825243682,1.0,1.0
100,-3.5,55,0.999314836192525,1.0,1.0
100,-3.25,68,0.9957657775535801,1.0,1.0
100,-3.0,80,0.9867301160040349,1.0,1.0
100,-2.75,93,0.9670445723317161,1.0,1.0
100,-2.5,105,0.9365385324258583,1.0,1.0
100,-2.25,118,0.8917531558767082,1.0,1.0
100,-2.0,130,0.8412313647192211,1.0,1.0
100,-1.75,143,0.7797215724488438,1.0,1.0
100,-1.5,155,0.7216084243368469,1.0,1.0
100,-1.25,168,0.6560364704819421,1.0,1.0
100,-1.0,180,0.5950406011088942,1.0,1.0
100,-0.75,193,0.5350514084762663,1.0,1.0
100,-0.5,205,0.4807210505900008,0.9701095990080856,1.0
100,-0.25,218,0.4278287845102113,0.7675363584659692,0.8079521765268818
100,0.0,230,0.38323865973956217,0.6330507570282458,0.6554162472160431
100,0.25,243,0.3381254088155713,0.5236213128473728,0.542876085081142
100,0.5,255,0.30131729370507415,0.44526763107475936,0.45663370966193667
100,0.75,268,0.26630757932210614,0.3775444820735343,0.3885180651651409
100,1.0,280,0.23694613015987046,0.3266280449392993,0.3334171040190373
100,1.25,293,0.20832017376777012,0.28089234623751963,0.28799503301587925
100,1.5,305,0.184707087342937,0.24543329406917902,0.24999163043732667
100,1.75,318,0.16201360346902155,0.21280695390858023,0.21782250593656163
100,2.0,330,0.14405974092033869,0.18702516763574623,0.19034218705232506
100,2.25,343,0.1267183703623499,0.16294881442546513,0.16669892158989089
100,2.5,355,0.11249004781579952,0.14369984107344785,0.14624301350909108
100,2.75,368,0.09881715679312975,0.12556065299297844,0.12846740337166176
100,3.0,380,0.08764209243334545,0.11095491149779259,0.1129682160346622
100,3.25,393,0.07693412997863458,0.09711531502654944,0.09941797890848432
100,3.5,405,0.06820122698503711,0.08592345648988509,0.08754705687608565
100,3.75,418,0.05984661248199982,0.07528327764929116,0.07713052043475117
100,4.0,430,0.05304097537593341,0.066656266373073,0.0679786711849241
100,4.25,443,0.04653564204299278,0.058437980122234626,0.059930070798138446
100,4.5,455,0.04123965207817071,0.05176412979321396,0.05284631153037487
100,4.75,468,0.03617950154066775,0.04539874315710516,0.046608017777135545
100,5.0,480,0.03206124177945487,0.04022467301580724,0.041111732004636026
100,5.25,493,0.028127127574323382,0.035286133025088574,0.03626744662396137
100,5.5,505,0.024925687841649165,0.03126957013132094,0.03199661574486084
100,5.75,518,0.02186759868241114,0.027434154928423646,0.02823052966750735
100,6.0,530,0.019379106313110052,0.02431369901166474,0.024908968378611816
200,-4.0,130,0.9999760575482565,1.0,1.0
200,-3.75,155,0.9997070914065731,1.0,1.0
200,-3.5,180,0.9982081810376695,1.0,1.0
200,-3.25,205,0.9931879319396358,1.0,1.0
200,-3.0,230,0.9818010788118352,1.0,1.0
200,-2.75,255,0.960713066953125,1.0,1.0
200,-2.5,280,0.9285755338192252,1.0,1.0
200,-2.25,305,0.8850716053886083,1.0,1.0
200,-2.0,330,0.8340886891903849,1.0,1.0
200,-1.75,355,0.7765093401163328,1.0,1.0
200,-1.5,380,0.7153992857972666,1.0,1.0
200,-1.25,405,0.6533989793536213,1.0,1.0
200,-1.0,430,0.5921881886333632,1.0,1.0
200,-0.75,455,0.5335182652665358,1.0,1.0
200,-0.5,480,0.47947948530173257,0.9876710850899723,1.0
200,-0.25,505,0.42793894901963947,0.7848657040217728,0.8079521765268818
200,0.0,530,0.38219669804426615,0.6400973811980983,0.6554162472160431
200,0.25,555,0.3393337954463453,0.5321460706145199,0.542876085081142
200,0.5,580,0.3017079956430937,0.4487631733622575,0.45663370966193667
200,0.75,605,0.26755466816568085,0.3825150022900008,0.3885180651651409
200,1.0,630,0.23660857747627778,0.32868562465308837,0.3334171040190373
200,1.25,655,0.20945166273491322,0.28416246348659746,0.28799503301587925
200,1.5,680,0.18540008379345246,0.24681646840907118,0.24999163043732667
200,1.75,705,0.1638779378176853,0.21514320843534904,0.21782250593656163
200,2.0,730,0.14470535393761283,0.18804753660818177,0.19034218705232506
200,2.25,755,0.1276824568868028,0.16471027260309593,0.16669892158989089
200,2.5,780,0.11264287814124117,0.1445033265538381,0.14624301350909108
200,2.75,805,0.09953827132311441,0.12693428959897265,0.12846740337166176
200,3.0,830,0.0879156258979476,0.11160942240184676,0.1129682160346622
200,3.25,855,0.07762193832480817,0.09820839879748282,0.09941797890848432
200,3.5,880,0.06851502032457893,0.08646671621147092,0.08754705687608565
200,3.75,905,0.06046455715653194,0.07616320014184615,0.07713052043475117
200,4.0,930,0.053352307943454205,0.06711095182054835,0.0679786711849241
200,4.25,955,0.04707177243973076,0.05915066130086082,0.059930070798138446
200,4.5,980,0.04152754531061419,0.052145571512266266,0.05284631153037487
200,4.75,1005,0.036634505501107716,0.04597761303373288,0.046608017777135545
200,5.0,1030,0.03231693696581835,0.04054438256719386,0.041111732004636026
200,5.25,1055,0.02850764177191948,0.035756739645108275,0.03626744662396137
200,5.5,1080,0.025147082709558996,0.03153686418391194,0.03199661574486084
200,5.75,1105,0.02218257661557177,0.02781666361063389,0.02823052966750735
200,6.0,1130,0.01956754917073831,0.024536449835445368,0.024908968378611816
400,-4.0,398,0.9999288365248876,1.0,1.0
400,-3.75,448,0.9994499874760174,1.0,1.0
400,-3.5,498,0.997398964694119,1.0,1.0
400,-3.25,548,0.9915870249262182,1.0,1.0
400,-3.0,598,0.9789289143077899,1.0,1.0
400,-2.75,648,0.9570611911782982,1.0,1.0
400,-2.5,698,0.9246995058914274,1.0,1.0
400,-2.25,748,0.882100209433606,1.0,1.0
400,-2.0,798,0.8309428387891533,1.0,1.0
400,-1.75,848,0.7734199131866644,1.0,1.0
400,-1.5,898,0.7135584922664165,1.0,1.0
400,-1.25,948,0.6522214165822581,1.0,1.0
400,-1.0,998,0.5918418743709071,1.0,1.0
400,-0.75,1048,0.5340570441283459,1.0,1.0
400,-0.5,1098,0.4797357220922579,1.0,1.0
400,-0.25,1148,0.4292177936170546,0.7963987468953452,0.8079521765268818
400,0.0,1198,0.3825282499597744,0.6479203524152075,0.6554162472160431
400,0.25,1248,0.34072178637474293,0.5377325734559809,0.542876085081142
400,0.5,1298,0.3024898545785366,0.4529296827458985,0.45663370966193667
400,0.75,1348,0.2684438174130286,0.38573766210910587,0.3885180651651409
400,1.0,1398,0.237550819912236,0.33125482908255205,0.3334171040190373
400,1.25,1448,0.21049987792080993,0.2862624344972484,0.28799503301587925
