n,epsilon,bler,trials
128,0.3294366836547852,0.058333333333333334,120
128,0.3627700169881185,0.225,120
128,0.39610335032145183,0.35833333333333334,120
128,0.42943668365478516,0.7166666666666667,120
128,0.4627700169881185,0.825,120
128,0.4961033503214518,0.9833333333333333,120
128,0.5294366836547851,1.0,120
128,0.3074262481272182,0.12444444444444444,450
128,0.3324262481272182,0.08444444444444445,450
128,0.35742624812721824,0.18,450
128,0.3824262481272182,0.31333333333333335,450
128,0.4074262481272182,0.5177777777777778,450
128,0.43242624812721825,0.7311111111111112,450
128,0.4574262481272182,0.8311111111111111,450
128,0.48242624812721824,0.9177777777777778,450
128,0.5074262481272183,0.98,450
256,0.3294366836547852,0.016666666666666666,120
256,0.3627700169881185,0.058333333333333334,120
256,0.39610335032145183,0.2916666666666667,120
256,0.42943668365478516,0.6333333333333333,120
256,0.4627700169881185,0.9083333333333333,120
256,0.4961033503214518,0.9916666666666667,120
256,0.5294366836547851,1.0,120
256,0.33222332288808865,0.011111111111111112,450
256,0.3532979462094589,0.05555555555555555,450
256,0.3743725695308292,0.17555555555555555,450
256,0.3954471928521995,0.2911111111111111,450
256,0.41652181617356976,0.5133333333333333,450
256,0.43759643949494004,0.7644444444444445,450
256,0.4586710628163103,0.8755555555555555,450
256,0.4797456861376806,0.98,450
256,0.5008203094590509,0.9977777777777778,450
512,0.3294366836547852,0.008333333333333333,120
512,0.3627700169881185,0.008333333333333333,120
512,0.39610335032145183,0.15,120
512,0.42943668365478516,0.6666666666666666,120
512,0.4627700169881185,0.925,120
512,0.4961033503214518,1.0,120
512,0.5294366836547851,1.0,120
512,0.36298007367035434,0.008888888888888889,450
512,0.37727567259527417,0.042222222222222223,450
512,0.391571271520194,0.1622222222222222,450
512,0.4058668704451139,0.29555555555555557,450
512,0.4201624693700337,0.5244444444444445,450
512,0.43445806829495354,0.6844444444444444,450
512,0.4487536672198734,0.8844444444444445,450
512,0.46304926614479325,0.96,450
512,0.4773448650697131,0.9933333333333333,450
1024,0.3294366836547852,0.0,120
1024,0.3627700169881185,0.0,120
1024,0.39610335032145183,0.08333333333333333,120
1024,0.42943668365478516,0.725,120
1024,0.4627700169881185,0.9916666666666667,120
1024,0.4961033503214518,1.0,120
1024,0.5294366836547851,1.0,120
1024,0.38044306419594526,0.0022222222222222222,450
1024,0.39029620458475367,0.017777777777777778,450
1024,0.400149344973562,0.09333333333333334,450
1024,0.4100024853623704,0.18666666666666668,450
1024,0.4198556257511788,0.38222222222222224,450
1024,0.4297087661399872,0.6488888888888888,450
1024,0.43956190652879557,0.8133333333333334,450
1024,0.4494150469176039,0.9288888888888889,450
1024,0.45926818730641233,0.9822222222222222,450
2048,0.3294366836547852,0.0,120
2048,0.3627700169881185,0.0,120
2048,0.39610335032145183,0.008333333333333333,120
2048,0.42943668365478516,0.5916666666666667,120
2048,0.4627700169881185,1.0,120
2048,0.4961033503214518,1.0,120
2048,0.5294366836547851,1.0,120
2048,0.4022429668683138,0.013333333333333334,450
2048,0.4084640515836052,0.09555555555555556,450
2048,0.4146851362988966,0.16444444444444445,450
2048,0.420906221014188,0.35777777777777775,450
2048,0.42712730572947943,0.5888888888888889,450
2048,0.43334839044477086,0.7266666666666667,450
2048,0.4395694751600623,0.8755555555555555,450
2048,0.44579055987535365,0.96,450
2048,0.4520116445906451,0.98,450
4096,0.3294366836547852,0.0,120
4096,0.3627700169881185,0.0,120
4096,0.39610335032145183,0.0,120
4096,0.42943668365478516,0.6416666666666667,120
4096,0.4627700169881185,1.0,120
4096,0.4961033503214518,1.0,120
4096,0.5294366836547851,1.0,120
4096,0.421693049377482,0.26,450
4096,0.42338283799337506,0.3244444444444444,450
4096,0.42507262660926814,0.4,450
4096,0.42676241522516123,0.4911111111111111,450
4096,0.4284522038410543,0.5644444444444444,450
4096,0.4301419924569474,0.6377777777777778,450
4096,0.4318317810728405,0.7088888888888889,450
4096,0.43352156968873357,0.7688888888888888,450
4096,0.43521135830462665,0.8288888888888889,450
