target_id,target_num_states,noise_rate,strategy,seed,theoretical_k,success,hypothesis_num_states,equivalence_queries,converged,distinct_queries,raw_queries
0,5,0.0,none,0,1,True,5,2,True,29,29
0,5,0.0,none,1,1,True,5,2,True,29,29
0,5,0.0,none,2,1,True,5,2,True,29,29
0,5,0.0,none,3,1,True,5,2,True,29,29
0,5,0.0,none,4,1,True,5,2,True,29,29
0,5,0.0,none,5,1,True,5,2,True,29,29
0,5,0.0,none,6,1,True,5,2,True,29,29
0,5,0.0,none,7,1,True,5,2,True,29,29
0,5,0.0,none,8,1,True,5,2,True,29,29
0,5,0.0,none,9,1,True,5,2,True,29,29
0,5,0.0,fixed5,0,1,True,5,2,True,29,145
0,5,0.0,fixed5,1,1,True,5,2,True,29,145
0,5,0.0,fixed5,2,1,True,5,2,True,29,145
0,5,0.0,fixed5,3,1,True,5,2,True,29,145
0,5,0.0,fixed5,4,1,True,5,2,True,29,145
0,5,0.0,fixed5,5,1,True,5,2,True,29,145
0,5,0.0,fixed5,6,1,True,5,2,True,29,145
0,5,0.0,fixed5,7,1,True,5,2,True,29,145
0,5,0.0,fixed5,8,1,True,5,2,True,29,145
0,5,0.0,fixed5,9,1,True,5,2,True,29,145
0,5,0.0,adaptive,0,1,True,5,2,True,29,29
0,5,0.0,adaptive,1,1,True,5,2,True,29,29
0,5,0.0,adaptive,2,1,True,5,2,True,29,29
0,5,0.0,adaptive,3,1,True,5,2,True,29,29
0,5,0.0,adaptive,4,1,True,5,2,True,29,29
0,5,0.0,adaptive,5,1,True,5,2,True,29,29
0,5,0.0,adaptive,6,1,True,5,2,True,29,29
0,5,0.0,adaptive,7,1,True,5,2,True,29,29
0,5,0.0,adaptive,8,1,True,5,2,True,29,29
0,5,0.0,adaptive,9,1,True,5,2,True,29,29
0,5,0.05,none,0,23,True,5,2,True,29,29
0,5,0.05,none,1,23,False,,,False,83,83
0,5,0.05,none,2,23,False,,,False,65,65
0,5,0.05,none,3,23,False,,,False,47,47
0,5,0.05,none,4,23,True,5,2,True,29,29
