d,n,bound,trials,lambda2_abs_mean,lambda2_abs_std,lambda2_abs_min,lambda2_abs_max,gap_mean,gap_min,gap_max,frac_connected,frac_bipartite_like,frac_exceeds_bound,within_eps_0.05,within_eps_0.1,within_eps_0.25,within_eps_0.5,close_eps_0.05,close_eps_0.1,close_eps_0.25,close_eps_0.5
3,64,2.8284271247461903,40,2.7799412129398826,0.03623660698333343,2.6992755171818272,2.851097678733916,-0.04848591180630807,-0.12915160756436306,0.02267055398772566,1.0,0.0,0.1,1.0,1.0,1.0,1.0,0.55,0.925,1.0,1.0
3,128,2.8284271247461903,40,2.8139534170349223,0.025218875890218432,2.7740126661609437,2.8725860811554496,-0.014473707711268147,-0.05441445858524663,0.044158956409259265,1.0,0.0,0.225,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0
3,256,2.8284271247461903,40,2.8189074216108603,0.012827934815070158,2.792724795818145,2.8468275066161226,-0.009519703135329982,-0.03570232892804537,0.018400381869932314,1.0,0.0,0.225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,512,2.8284271247461903,40,2.82147742114835,0.007872786902761207,2.804862123040054,2.8489702054412094,-0.006949703597840107,-0.02356500170613618,0.02054308069501909,1.0,0.0,0.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1024,2.8284271247461903,20,2.825733704166466,0.004434136514344184,2.816826773701529,2.83451286197225,-0.002693420579724459,-0.011600351044661394,0.006085737226059873,1.0,0.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2048,2.8284271247461903,20,2.825705386325056,0.002524553063972563,2.819408861864711,2.8283085898353537,-0.002721738421133946,-0.009018262881479444,-0.0001185349108365763,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4096,2.8284271247461903,10,2.8281031544837862,0.00241846063857411,2.8238664114313745,2.8321602234291388,-0.00032397026240422734,-0.004560713314815779,0.003733098682948466,1.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,8192,2.8284271247461903,10,2.8276440186513954,0.0010215533586511868,2.826450074619486,2.829832482863054,-0.0007831060947951051,-0.0019770501267042384,0.0014053581168638196,1.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,64,3.4641016151377544,40,3.3922477231084507,0.06004091975955297,3.268608817166174,3.520285744305628,-0.07185389202930366,-0.1954927979715806,0.05618412916787374,1.0,0.0,0.125,0.975,1.0,1.0,1.0,0.325,0.7,1.0,1.0
4,128,3.4641016151377544,40,3.4199622155355387,0.04149551412767568,3.3191979645778176,3.5348915851584377,-0.04413939960221648,-0.14490365055993681,0.07078997002068332,1.0,0.0,0.1,0.975,1.0,1.0,1.0,0.525,0.9,1.0,1.0
4,256,3.4641016151377544,40,3.4328279259985983,0.01824822096111909,3.398534259422364,3.4706143827373936,-0.031273689139156055,-0.06556735571539019,0.0065127675996392576,1.0,0.0,0.075,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0
4,512,3.4641016151377544,40,3.4485515087407768,0.01099125853903045,3.4277438195169085,3.473162194614506,-0.015550106396977714,-0.036357795620845845,0.009060579476751762,1.0,0.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
