d,n,trial,lambda1,lambda2,lambda_min,lambda2_abs,bipartite_like,connected,bound,gap
3,64,0,3.0,2.6992755171818272,-2.695045837432515,2.6992755171818272,False,True,2.8284271247461903,-0.12915160756436306
3,64,1,2.9999999999999996,2.693104834746462,-2.7813331569081607,2.7813331569081607,False,True,2.8284271247461903,-0.04709396783802955
3,64,2,2.9999999999999982,2.6964826807273243,-2.7346510809493836,2.7346510809493836,False,True,2.8284271247461903,-0.09377604379680671
3,64,3,3.0000000000000004,2.7420423354408627,-2.8099492653476914,2.8099492653476914,False,True,2.8284271247461903,-0.018477859398498886
3,64,4,3.0000000000000018,2.7410580151884996,-2.747641699777125,2.747641699777125,False,True,2.8284271247461903,-0.08078542496906538
3,64,5,2.9999999999999996,2.8478280190855454,-2.770276293402369,2.8478280190855454,False,True,2.8284271247461903,0.0194008943393551
3,64,6,3.0000000000000004,2.7729817633657414,-2.7567852494287424,2.7729817633657414,False,True,2.8284271247461903,-0.055445361380448865
3,64,7,3.0,2.677275869578927,-2.787487918901376,2.787487918901376,False,True,2.8284271247461903,-0.040939205844814364
3,64,8,2.9999999999999987,2.755720578691946,-2.7761266782369893,2.7761266782369893,False,True,2.8284271247461903,-0.05230044650920096
3,64,9,3.0000000000000004,2.767453448161017,-2.840717581294371,2.840717581294371,False,True,2.8284271247461903,0.012290456548180728
3,64,10,2.9999999999999987,2.7855367798196506,-2.788920634855245,2.788920634855245,False,True,2.8284271247461903,-0.039506489890945407
3,64,11,3.0000000000000018,2.7204379185018723,-2.7848013892086794,2.7848013892086794,False,True,2.8284271247461903,-0.043625735537510923
3,64,12,3.0,2.727918663440765,-2.7212390268388202,2.727918663440765,False,True,2.8284271247461903,-0.10050846130542546
3,64,13,3.0,2.7821671292171977,-2.7493189198850447,2.7821671292171977,False,True,2.8284271247461903,-0.046259995528992626
3,64,14,3.0000000000000004,2.781787764076394,-2.7953653876167244,2.7953653876167244,False,True,2.8284271247461903,-0.03306173712946592
3,64,15,3.0000000000000004,2.8122385375050154,-2.7728522313480606,2.8122385375050154,False,True,2.8284271247461903,-0.01618858724117489
3,64,16,3.0,2.701553327323411,-2.7650961734729815,2.7650961734729815,False,True,2.8284271247461903,-0.06333095127320876
3,64,17,3.0,2.6822824998259365,-2.7389542723244307,2.7389542723244307,False,True,2.8284271247461903,-0.08947285242175962
3,64,18,2.9999999999999996,2.765544998813657,-2.8282438403155656,2.8282438403155656,False,True,2.8284271247461903,-0.00018328443062465283
3,64,19,2.999999999999999,2.7470702368628337,-2.789773068711332,2.789773068711332,False,True,2.8284271247461903,-0.038654056034858275
3,64,20,2.999999999999999,2.813535181336815,-2.7866026074090384,2.813535181336815,False,True,2.8284271247461903,-0.014891943409375497
3,64,21,2.9999999999999996,2.752312643062837,-2.739509206295419,2.752312643062837,False,True,2.8284271247461903,-0.07611448168335322
3,64,22,2.9999999999999996,2.7483572766692625,-2.7674932681766675,2.7674932681766675,False,True,2.8284271247461903,-0.06093385656952277
3,64,23,3.0000000000000004,2.7052033371855955,-2.7750219764951383,2.7750219764951383,False,True,2.8284271247461903,-0.053405148251052026
3,64,24,2.9999999999999987,2.774708232383979,-2.8161173685727494,2.8161173685727494,False,True,2.8284271247461903,-0.012309756173440878
3,64,25,3.0000000000000004,2.851097678733916,-2.763844532745139,2.851097678733916,False,True,2.8284271247461903,0.02267055398772566
3,64,26,3.0,2.789649748518286,-2.725983259022785,2.789649748518286,False,True,2.8284271247461903,-0.03877737622790445
3,64,27,3.0,2.8363079731821763,-2.7546590171605985,2.8363079731821763,False,True,2.8284271247461903,0.007880848435986021
3,64,28,3.0000000000000004,2.7309154895570558,-2.7217220555811648,2.7309154895570558,False,True,2.8284271247461903,-0.09751163518913453
3,64,29,2.9999999999999987,2.70939232578291,-2.746555571868471,2.746555571868471,False,True,2.8284271247461903,-0.08187155287771919
3,64,30,3.000000000000001,2.7997437715622797,-2.7727370595064733,2.7997437715622797,False,True,2.8284271247461903,-0.028683353183910576
3,64,31,3.000000000000001,2.689016303493341,-2.7879108859212796,2.7879108859212796,False,True,2.8284271247461903,-0.04051623882491073
3,64,32,2.9999999999999987,2.744606531643765,-2.802237508415498,2.802237508415498,False,True,2.8284271247461903,-0.026189616330692278
3,64,33,3.0,2.756102521685652,-2.727395126165073,2.756102521685652,False,True,2.8284271247461903,-0.07232460306053845
3,64,34,3.000000000000001,2.771580373975629,-2.788022982499169,2.788022982499169,False,True,2.8284271247461903,-0.04040414224702138
3,64,35,2.999999999999999,2.671374268074321,-2.7273855382016934,2.7273855382016934,False,True,2.8284271247461903,-0.10104158654449691
3,64,36,3.0000000000000018,2.7201007866778943,-2.749406492103189,2.749406492103189,False,True,2.8284271247461903,-0.07902063264300141
3,64,37,3.0000000000000013,2.7182228716214047,-2.745317082784672,2.745317082784672,False,True,2.8284271247461903,-0.08311004196151828
3,64,38,2.999999999999999,2.7172076088688906,-2.743068484622304,2.743068484622304,False,True,2.8284271247461903,-0.08535864012388616
3,64,39,2.999999999999999,2.712916949654675,-2.807974572579293,2.807974572579293,False,True,2.8284271247461903,-0.02045255216689723
3,128,0,2.999999999999999,2.857125802925755,-2.722563029550418,2.857125802925755,False,True,2.8284271247461903,0.02869867817956484
3,128,1,2.9999999999999996,2.7934495136751782,-2.850107503117811,2.850107503117811,False,True,2.8284271247461903,0.021680378371620623
3,128,2,3.0000000000000004,2.7968032205054105,-2.7800369675733303,2.7968032205054105,False,True,2.8284271247461903,-0.031623904240779765
3,128,3,3.0000000000000013,2.7853950069018425,-2.79926739729394,2.79926739729394,False,True,2.8284271247461903,-0.029159727452250372
3,128,4,2.9999999999999987,2.8123709729701285,-2.793670237443834,2.8123709729701285,False,True,2.8284271247461903,-0.01605615177606179
3,128,5,3.000000000000001,2.775615972755793,-2.851743084702622,2.851743084702622,False,True,2.8284271247461903,0.023315959956431875
3,128,6,3.0000000000000004,2.777840932872241,-2.7474835232119954,2.777840932872241,False,True,2.8284271247461903,-0.05058619187394919
3,128,7,3.000000000000001,2.753244610173256,-2.7859887625451454,2.7859887625451454,False,True,2.8284271247461903,-0.04243836220104491
3,128,8,2.999999999999999,2.8432645276478143,-2.7560411771094087,2.8432645276478143,False,True,2.8284271247461903,0.014837402901624053
3,128,9,2.9999999999999982,2.8090126508783504,-2.8691713901184626,2.8691713901184626,False,True,2.8284271247461903,0.04074426537227227
3,128,10,3.0,2.776406886507528,-2.805271028024233,2.805271028024233,False,True,2.8284271247461903,-0.023156096721957287
3,128,11,3.0,2.78679452578577,-2.7919298422651195,2.7919298422651195,False,True,2.8284271247461903,-0.03649728248107076
3,128,12,3.000000000000002,2.7745549918709753,-2.7987662562265716,2.7987662562265716,False,True,2.8284271247461903,-0.02966086851961869
3,128,13,3.000000000000001,2.7645888449685048,-2.8179468854279364,2.8179468854279364,False,True,2.8284271247461903,-0.010480239318253926
3,128,14,3.0000000000000018,2.7824872426798253,-2.7535617782528132,2.7824872426798253,False,True,2.8284271247461903,-0.04593988206636501
3,128,15,2.9999999999999996,2.7647746482755875,-2.8005232948301897,2.8005232948301897,False,True,2.8284271247461903,-0.0279038299160006
3,128,16,3.0000000000000013,2.808766825894766,-2.8060470267461013,2.808766825894766,False,True,2.8284271247461903,-0.019660298851424507
3,128,17,3.000000000000001,2.7536335134319674,-2.8725860811554496,2.8725860811554496,False,True,2.8284271247461903,0.044158956409259265
3,128,18,3.0000000000000018,2.8148944334299753,-2.822215570478946,2.822215570478946,False,True,2.8284271247461903,-0.006211554267244512
3,128,19,2.9999999999999987,2.7851216682797606,-2.776781012428971,2.7851216682797606,False,True,2.8284271247461903,-0.04330545646642969
3,128,20,3.0,2.809413078567015,-2.8119150392936,2.8119150392936,False,True,2.8284271247461903,-0.01651208545259042
3,128,21,2.9999999999999996,2.774853378347166,-2.7953134896721297,2.7953134896721297,False,True,2.8284271247461903,-0.03311363507406062
3,128,22,3.0,2.7628122979491527,-2.7927763454855143,2.7927763454855143,False,True,2.8284271247461903,-0.03565077926067595
3,128,23,2.999999999999999,2.8103637400057204,-2.7856465567082727,2.8103637400057204,False,True,2.8284271247461903,-0.018063384740469868
3,128,24,3.000000000000002,2.787931902688096,-2.7833798046219447,2.787931902688096,False,True,2.8284271247461903,-0.04049522205809408
3,128,25,3.0000000000000004,2.78386311935186,-2.8117617651235944,2.8117617651235944,False,True,2.8284271247461903,-0.016665359622595854
3,128,26,3.0000000000000018,2.8188522734218067,-2.791260468256629,2.8188522734218067,False,True,2.8284271247461903,-0.009574851324383626
3,128,27,2.9999999999999973,2.770922635969368,-2.7960595957376873,2.7960595957376873,False,True,2.8284271247461903,-0.03236752900850304
3,128,28,2.9999999999999996,2.7808934464861275,-2.799858429620781,2.799858429620781,False,True,2.8284271247461903,-0.02856869512540916
3,128,29,3.0000000000000018,2.7740126661609437,-2.767089560918177,2.7740126661609437,False,True,2.8284271247461903,-0.05441445858524663
3,128,30,3.0,2.8165540423308144,-2.7746098493119122,2.8165540423308144,False,True,2.8284271247461903,-0.01187308241537588
3,128,31,3.0000000000000004,2.7950980503259824,-2.814506936067203,2.814506936067203,False,True,2.8284271247461903,-0.013920188678987255
3,128,32,3.0000000000000013,2.807506158716377,-2.850344832673457,2.850344832673457,False,True,2.8284271247461903,0.021917707927266772
3,128,33,3.000000000000001,2.79092828785214,-2.851867205649421,2.851867205649421,False,True,2.8284271247461903,0.023440080903230687
3,128,34,3.0,2.781103278222287,-2.8388955628263735,2.8388955628263735,False,True,2.8284271247461903,0.010468438080183162
3,128,35,2.999999999999999,2.803040062291744,-2.8108144048999977,2.8108144048999977,False,True,2.8284271247461903,-0.017612719846192615
3,128,36,3.0000000000000013,2.803012216667941,-2.8006000316681963,2.803012216667941,False,True,2.8284271247461903,-0.025414908078249088
3,128,37,2.999999999999999,2.8086604705739115,-2.776869705754763,2.8086604705739115,False,True,2.8284271247461903,-0.01976665417227874
3,128,38,2.9999999999999982,2.801781076896642,-2.826246242322504,2.826246242322504,False,True,2.8284271247461903,-0.0021808824236861923
3,128,39,2.9999999999999973,2.809091230213261,-2.7918860663674048,2.809091230213261,False,True,2.8284271247461903,-0.019335894532929387
3,256,0,3.0000000000000004,2.7974568119700653,-2.8177309236472827,2.8177309236472827,False,True,2.8284271247461903,-0.010696201098907565
3,256,1,3.000000000000001,2.7895965696159997,-2.810110035284495,2.810110035284495,False,True,2.8284271247461903,-0.01831708946169508
3,256,2,3.000000000000002,2.7971764364901257,-2.8284083274876233,2.8284083274876233,False,True,2.8284271247461903,-1.8797258567015973e-05
3,256,3,2.9999999999999982,2.808617777758808,-2.8153307251078434,2.8153307251078434,False,True,2.8284271247461903,-0.013096399638346856
3,256,4,2.9999999999999996,2.8161820277696834,-2.812675421207298,2.8161820277696834,False,True,2.8284271247461903,-0.012245096976506886
3,256,5,2.9999999999999987,2.804526990382049,-2.8363996130489597,2.8363996130489597,False,True,2.8284271247461903,0.00797248830276942
3,256,6,2.9999999999999987,2.799666035432996,-2.8121256140281043,2.8121256140281043,False,True,2.8284271247461903,-0.016301510718085943
3,256,7,3.0,2.82464572977496,-2.817729303071284,2.82464572977496,False,True,2.8284271247461903,-0.003781394971230423
3,256,8,2.999999999999997,2.812014705016469,-2.823891257201397,2.823891257201397,False,True,2.8284271247461903,-0.004535867544793071
3,256,9,3.0000000000000027,2.8131627685688088,-2.817609054671674,2.817609054671674,False,True,2.8284271247461903,-0.010818070074516406
3,256,10,3.0000000000000013,2.818777397144045,-2.838428485590712,2.838428485590712,False,True,2.8284271247461903,0.010001360844521745
3,256,11,3.0000000000000018,2.8328686501615716,-2.7959524120381323,2.8328686501615716,False,True,2.8284271247461903,0.004441525415381342
3,256,12,2.9999999999999987,2.792724795818145,-2.780435370939277,2.792724795818145,False,True,2.8284271247461903,-0.03570232892804537
3,256,13,3.0,2.8468275066161226,-2.7831882824378344,2.8468275066161226,False,True,2.8284271247461903,0.018400381869932314
3,256,14,3.000000000000001,2.8233063408680166,-2.7994351098294006,2.8233063408680166,False,True,2.8284271247461903,-0.005120783878173718
3,256,15,3.0000000000000004,2.7882714788395755,-2.8077680938706324,2.8077680938706324,False,True,2.8284271247461903,-0.02065903087555787
3,256,16,2.9999999999999996,2.788560350572165,-2.812375515108159,2.812375515108159,False,True,2.8284271247461903,-0.016051609638031206
