basis,d,eps_target,k,k_over_k0,max_eps,median_eps,median_rel_excess,n,p90_rel_excess,sketch,success_rate,sweep,time_s,variant
,30,0.25,155,0.14990328820116053,,0.9640003277019966,,4096,,gaussian,0.0,threshold,,
,30,0.25,310,0.29980657640232106,,0.6384283938527648,,4096,,gaussian,0.0,threshold,,
,30,0.25,517,0.5,,0.4951966824975993,,4096,,gaussian,0.0,threshold,,
,30,0.25,776,0.7504835589941973,,0.4028304467332473,,4096,,gaussian,0.0,threshold,,
,30,0.25,1034,1.0,,0.3515453717812991,,4096,,gaussian,0.0,threshold,,
,30,0.25,1551,1.5,,0.2615424254437899,,4096,,gaussian,0.24,threshold,,
,30,0.25,2068,2.0,,0.2271932363561855,,4096,,gaussian,0.96,threshold,,
,30,0.25,3102,3.0,,0.188628533826668,,4096,,gaussian,1.0,threshold,,
,30,0.25,155,0.14990328820116053,,0.9138736125474585,,4096,,srht,0.0,threshold,,
,30,0.25,310,0.29980657640232106,,0.6107822201691293,,4096,,srht,0.0,threshold,,
,30,0.25,517,0.5,,0.4466308689777494,,4096,,srht,0.0,threshold,,
,30,0.25,776,0.7504835589941973,,0.35324186038504446,,4096,,srht,0.0,threshold,,
,30,0.25,1034,1.0,,0.2811637415121544,,4096,,srht,0.04,threshold,,
,30,0.25,1551,1.5,,0.21171567780698497,,4096,,srht,1.0,threshold,,
,30,0.25,2068,2.0,,0.16277644326356366,,4096,,srht,1.0,threshold,,
,30,0.25,3102,3.0,,0.09466649647025505,,4096,,srht,1.0,threshold,,
,30,0.25,155,0.14990328820116053,,0.9649333561437288,,4096,,countsketch,0.0,threshold,,
,30,0.25,310,0.29980657640232106,,0.6617687553199998,,4096,,countsketch,0.0,threshold,,
,30,0.25,517,0.5,,0.49732850606171586,,4096,,countsketch,0.0,threshold,,
,30,0.25,776,0.7504835589941973,,0.388073463946045,,4096,,countsketch,0.0,threshold,,
,30,0.25,1034,1.0,,0.3407674273465533,,4096,,countsketch,0.0,threshold,,
,30,0.25,1551,1.5,,0.27296537509200647,,4096,,countsketch,0.16,threshold,,
,30,0.25,2068,2.0,,0.23424511284455884,,4096,,countsketch,0.76,threshold,,
,30,0.25,3102,3.0,,0.19426553798355384,,4096,,countsketch,1.0,threshold,,
,30,,60,,,1.6576092768920971,,4096,,gaussian,,scaling,,
,30,,120,,,1.1705844670962944,,4096,,gaussian,,scaling,,
,30,,240,,,0.7562330071432635,,4096,,gaussian,,scaling,,
,30,,480,,,0.5124637280617472,,4096,,gaussian,,scaling,,
,30,,960,,,0.3540937804934088,,4096,,gaussian,,scaling,,
,30,,1920,,,0.24834958319628853,,4096,,gaussian,,scaling,,
,30,,60,,,1.6591204660555134,,4096,,srht,,scaling,,
,30,,120,,,1.0802098312137836,,4096,,srht,,scaling,,
,30,,240,,,0.7287963403580275,,4096,,srht,,scaling,,
,30,,480,,,0.47533175022789353,,4096,,srht,,scaling,,
