c,n,p,lam,lam_over_threshold,trials,mean_eig,std_eig,ci95_eig,theory_eig,rel_err_eig,mean_align,std_align,ci95_align,theory_align,abs_err_align
0.1,1500,150,0.0,0.0,50,1.7126387260388365,0.016662195328012143,0.004735343517876692,1.732455532033676,0.01143856545141869,0.004843010071611946,0.008034559470376004,0.002283396536774297,0.0,0.004843010071611946
0.1,1500,150,0.07905694150420949,0.25,50,1.7107130689801715,0.022297489917198106,0.006336876519915444,1.732455532033676,0.012550084346454637,0.011703995016615199,0.013302835209708562,0.0037806239357770517,0.0,0.011703995016615199
0.1,1500,150,0.15811388300841897,0.5,50,1.7202098900980698,0.017046972214150188,0.0048446958989845626,1.732455532033676,0.007068373016900184,0.0324661745387942,0.04085528479522172,0.011610943469184518,0.0,0.0324661745387942
0.1,1500,150,0.23717082451262844,0.75,50,1.7189372724834349,0.023529932181764333,0.006687132736085202,1.732455532033676,0.007802947492899025,0.06999854236362026,0.06594194850538983,0.018740494410493132,0.0,0.06999854236362026
0.1,1500,150,0.31622776601683794,1.0,50,1.7363744090137407,0.02175502112293634,0.00618270859438169,1.732455532033676,0.002262036114407166,0.14597109957797924,0.11313209412390475,0.03215178540566067,0.0,0.14597109957797924
0.1,1500,150,0.39528470752104744,1.25,50,1.7431019349122976,0.023545699068163273,0.006691613635620738,1.7482669203345176,0.0029543460224207133,0.2897037424871799,0.11959197961889392,0.03398766455019907,0.28731453353328074,0.002389208953899158
0.1,1500,150,0.4743416490252569,1.5,50,1.7950395273016462,0.0455703678038111,0.012950955233626963,1.785160159703149,0.005534163164463625,0.4433343405635148,0.11836722646128643,0.03363959355404855,0.4588264472802953,0.01549210671678053
0.1,1500,150,0.6324555320336759,2.0,50,1.8855434225760066,0.05020257422046102,0.014267413731246011,1.890569415042095,0.0026584543397876626,0.6316540870779043,0.06584922349306303,0.018714142253564055,0.6476047053781392,0.01595061830023492
0.1,1500,150,0.9486832980505138,3.0,50,2.1673947996387595,0.06650014584240031,0.018899132338417602,2.15409255338946,0.006175336444280673,0.8012254520408199,0.02949235030909016,0.00838163321902194,0.80412651205488,0.0029010600140600973
0.3,500,150,0.0,0.0,50,2.353988597782477,0.04196875569326652,0.011927388397094854,2.395445115010332,0.017306394109420503,0.006156147551768806,0.006600549597081739,0.001875855440034237,0.0,0.006156147551768806
0.3,500,150,0.13693063937629152,0.25,50,2.3507646093794268,0.03870569867583183,0.011000037853436642,2.395445115010332,0.01865227691961228,0.012244251430467055,0.016365658263092078,0.004651068616488476,0.0,0.012244251430467055
0.3,500,150,0.27386127875258304,0.5,50,2.350308389478252,0.04768016264569739,0.013550552293432157,2.395445115010332,0.01884273000005068,0.03145203105253788,0.038011830833708744,0.010802842794575654,0.0,0.03145203105253788
0.3,500,150,0.41079191812887456,0.75,50,2.3786665472343476,0.04878811346553273,0.013865428432473278,2.395445115010332,0.007004363268791504,0.06583264059973583,0.06897929197528356,0.01960369787369742,0.0,0.06583264059973583
0.3,500,150,0.5477225575051661,1.0,50,2.3822145965726627,0.06555844264420391,0.01863150325067991,2.395445115010332,0.005523198321165563,0.17061571176329082,0.1290756452545938,0.036682892502437885,0.0,0.17061571176329082
0.3,500,150,0.6846531968814575,1.25,50,2.428960455300792,0.058800100246251416,0.016710803592818343,2.4228312428855903,0.0025297727331194705,0.256724969725471,0.1326064802859023,0.03768634471560992,0.25031671217637624,0.006408257549094742
0.3,500,150,0.8215838362577491,1.5,50,2.477691653475198,0.0783245721077603,0.022259597101074027,2.4867322079278598,0.0036355158886187504,0.3829865308160023,0.14873466097723612,0.04226992295295394,0.40695617200633927,0.023969641190336954
0.3,500,150,1.0954451150103321,2.0,50,2.6854887025977465,0.11740035678769599,0.03336481223313996,2.6693063937629153,0.0060623646924319605,0.5929415976525231,0.06571447821132959,0.018675848068202522,0.5887611253357434,0.004180472316779649
0.3,500,150,1.6431676725154982,3.0,50,3.138117411259383,0.14946639738592699,0.04247788013935563,3.125741858350554,0.003959237029048687,0.7458991418640505,0.042671670352892835,0.012127154533042504,0.7516559210712134,0.005756779207162888
0.5,300,150,0.0,0.0,50,2.8562879297079906,0.0629783601946271,0.017898251931590465,2.914213562373095,0.019876934694495918,0.005552489203157472,0.005798235486645079,0.0016478402927282843,0.0,0.005552489203157472
0.5,300,150,0.1767766952966369,0.25,50,2.852538896951648,0.06390275731480348,0.018160962686373898,2.914213562373095,0.021163399353348725,0.01588301738788342,0.02162302115690583,0.006145194619110276,0.0,0.01588301738788342
0.5,300,150,0.3535533905932738,0.5,50,2.8782511345770176,0.06387920762805142,0.018154269939451056,2.914213562373095,0.012340354276161026,0.027094485945991193,0.031663669372043436,0.008998715268991197,0.0,0.027094485945991193
0.5,300,150,0.5303300858899107,0.75,50,2.869943278995211,0.0643049701713783,0.018275270315452417,2.914213562373095,0.015191159614888962,0.06752327272434741,0.07300908736350083,0.02074895305131996,0.0,0.06752327272434741
0.5,300,150,0.7071067811865476,1.0,50,2.8889028466306756,0.0555354722678102,0.01578300658698197,2.914213562373095,0.00868526454931749,0.12887611885902137,0.11278447132763732,0.03205299210006283,0.0,0.12887611885902137
0.5,300,150,0.8838834764831844,1.25,50,2.9532221835675436,0.09004614237804022,0.02559083051335981,2.9495689014324227,0.0012385817240433941,0.24532251753457743,0.12934817940942905,0.03676034585225725,0.22993124561510936,0.01539127191946807
