model,n,seed,theory_threshold,percolation_threshold,cycle_onset_threshold,t_max,percolation_ratio,cycle_onset_ratio
er,50,1,0.02,0.026532663316582914,0.04484191052615642,0.16,1.3266331658291457,2.2420955263078213
er,50,2,0.02,0.025728643216080403,0.049047906696796414,0.16,1.2864321608040201,2.452395334839821
er,50,3,0.02,0.025728643216080403,0.046852957457304,0.16,1.2864321608040201,2.3426478728652
er,50,4,0.02,0.03537688442211055,0.05771740674972534,0.16,1.7688442211055275,2.885870337486267
er,50,5,0.02,0.012864321608040201,0.03681230917572975,0.16,0.6432160804020101,1.8406154587864876
er,50,6,0.02,0.02492462311557789,0.05494980663061142,0.16,1.2462311557788945,2.747490331530571
er,50,7,0.02,0.03055276381909548,0.04971836358308792,0.16,1.5276381909547738,2.485918179154396
er,50,8,0.02,0.017688442211055276,0.05165547356009483,0.16,0.8844221105527638,2.5827736780047417
er,50,9,0.02,0.024120603015075376,0.048890868201851845,0.16,1.2060301507537687,2.4445434100925922
er,50,10,0.02,0.016884422110552764,0.04292861819267273,0.16,0.8442211055276382,2.1464309096336365
er,50,11,0.02,0.025728643216080403,0.043174009025096896,0.16,1.2864321608040201,2.1587004512548447
er,50,12,0.02,0.02492462311557789,0.03771419711410999,0.16,1.2462311557788945,1.8857098557054994
er,50,13,0.02,0.020904522613065326,0.035513632372021674,0.16,1.0452261306532662,1.7756816186010838
er,50,14,0.02,0.018492462311557788,0.04300530552864075,0.16,0.9246231155778893,2.1502652764320374
er,50,15,0.02,0.018492462311557788,0.043710194528102875,0.16,0.9246231155778893,2.1855097264051437
er,50,16,0.02,0.016884422110552764,0.04238384142518044,0.16,0.8442211055276382,2.1191920712590218
er,50,17,0.02,0.028944723618090452,0.04894045256078243,0.16,1.4472361809045227,2.4470226280391216
er,50,18,0.02,0.032160804020100506,0.04829466715455055,0.16,1.6080402010050252,2.4147333577275276
er,50,19,0.02,0.02492462311557789,0.05108340084552765,0.16,1.2462311557788945,2.5541700422763824
er,50,20,0.02,0.026532663316582914,0.0401053611189127,0.16,1.3266331658291457,2.005268055945635
er,50,21,0.02,0.011256281407035176,0.03450533486902714,0.16,0.5628140703517588,1.7252667434513569
er,50,22,0.02,0.013668341708542715,0.03209266662597656,0.16,0.6834170854271358,1.6046333312988281
er,50,23,0.02,0.020904522613065326,0.05498849228024483,0.16,1.0452261306532662,2.7494246140122414
er,50,24,0.02,0.019296482412060303,0.053560268506407736,0.16,0.9648241206030151,2.678013425320387
er,50,25,0.02,0.038592964824120606,0.051525434106588365,0.16,1.9296482412060303,2.576271705329418
er,50,26,0.02,0.026532663316582914,0.043966219574213025,0.16,1.3266331658291457,2.1983109787106514
er,50,27,0.02,0.014472361809045226,0.036590442061424255,0.16,0.7236180904522613,1.8295221030712128
er,50,28,0.02,0.036180904522613064,0.054089841246604924,0.16,1.809045226130653,2.704492062330246
er,50,29,0.02,0.02170854271356784,0.04956988468766212,0.16,1.085427135678392,2.4784942343831062
er,50,30,0.02,0.02733668341708543,0.044674326851964,0.16,1.3668341708542715,2.2337163425982
er,100,31,0.01,0.00763819095477387,0.01840421482920647,0.08,0.7638190954773869,1.840421482920647
er,100,32,0.01,0.012864321608040201,0.022657551988959312,0.08,1.2864321608040201,2.2657551988959312
er,100,33,0.01,0.009246231155778894,0.02044687792658806,0.08,0.9246231155778893,2.044687792658806
er,100,34,0.01,0.006432160804020101,0.01824183203279972,0.08,0.6432160804020101,1.824183203279972
er,100,35,0.01,0.008040201005025126,0.021592495404183867,0.08,0.8040201005025126,2.1592495404183865
er,100,36,0.01,0.012462311557788945,0.021762252226471903,0.08,1.2462311557788945,2.17622522264719
er,100,37,0.01,0.01527638190954774,0.02392977848649025,0.08,1.5276381909547738,2.392977848649025
er,100,38,0.01,0.013266331658291457,0.02685373555868864,0.08,1.3266331658291457,2.685373555868864
er,100,39,0.01,0.012462311557788945,0.023450261540710927,0.08,1.2462311557788945,2.3450261540710926
er,100,40,0.01,0.009648241206030151,0.023547469452023507,0.08,0.9648241206030151,2.3547469452023506
er,100,41,0.01,0.012060301507537688,0.024958326108753683,0.08,1.2060301507537687,2.495832610875368
er,100,42,0.01,0.01407035175879397,0.02456252761185169,0.08,1.407035175879397,2.456252761185169
er,100,43,0.01,0.012060301507537688,0.020030312053859235,0.08,1.2060301507537687,2.0030312053859234
er,100,44,0.01,0.014472361809045226,0.023721911758184434,0.08,1.4472361809045227,2.3721911758184433
er,100,45,0.01,0.009648241206030151,0.023378990590572357,0.08,0.9648241206030151,2.3378990590572357
er,100,46,0.01,0.010050251256281407,0.023025749251246452,0.08,1.0050251256281406,2.3025749251246452
er,100,47,0.01,0.01407035175879397,0.023657558113336564,0.08,1.407035175879397,2.3657558113336563
er,100,48,0.01,0.018492462311557788,0.0268616134300828,0.08,1.8492462311557787,2.68616134300828
er,100,49,0.01,0.010452261306532663,0.020553973875939848,0.08,1.0452261306532662,2.0553973875939846
er,100,50,0.01,0.013266331658291457,0.025311145558953287,0.08,1.3266331658291457,2.5311145558953285
er,100,51,0.01,0.009648241206030151,0.022579487413167953,0.08,0.9648241206030151,2.2579487413167953
er,100,52,0.01,0.007236180904522613,0.020531322434544565,0.08,0.7236180904522613,2.0531322434544563
er,100,53,0.01,0.014472361809045226,0.02366078644990921,0.08,1.4472361809045227,2.366078644990921
er,100,54,0.01,0.012462311557788945,0.021333258226513864,0.08,1.2462311557788945,2.1333258226513863
er,100,55,0.01,0.009246231155778894,0.02064991109073162,0.08,0.9246231155778893,2.064991109073162
er,100,56,0.01,0.011256281407035176,0.025792792439460754,0.08,1.1256281407035176,2.5792792439460754
